,country_name,country_name_short,vote_share,seats,party_id,party_name,party_name_english,election_year,family_id,family_name,left_right,liberty_authority,eu_anti_pro
338,Austria,AUT,48.35,85.0,1013,Österreichische Volkspartei,Austrian People's Party,1968,3,Christian democracy,6.4733,7.6198,8.8451
339,Austria,AUT,42.56,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1968,11,Social democracy,3.7293,3.4766,8.4495
340,Austria,AUT,5.35,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1968,40,Right-wing,8.3494,8.5149,1.9815
341,Austria,AUT,3.28,0.0,1743,Demokratische Fortschrittliche Partei,Democratic Progressive Party,1968,40,Right-wing,8.8,8.5,2.3
338,Austria,AUT,48.35,85.0,1013,Österreichische Volkspartei,Austrian People's Party,1969,3,Christian democracy,6.4733,7.6198,8.8451
339,Austria,AUT,42.56,74.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1969,11,Social democracy,3.7293,3.4766,8.4495
340,Austria,AUT,5.35,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1969,40,Right-wing,8.3494,8.5149,1.9815
341,Austria,AUT,3.28,0.0,1743,Demokratische Fortschrittliche Partei,Democratic Progressive Party,1969,40,Right-wing,8.8,8.5,2.3
342,Austria,AUT,48.4,81.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1970,11,Social democracy,3.7293,3.4766,8.4495
343,Austria,AUT,44.7,78.0,1013,Österreichische Volkspartei,Austrian People's Party,1970,3,Christian democracy,6.4733,7.6198,8.8451
344,Austria,AUT,5.5,6.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1970,40,Right-wing,8.3494,8.5149,1.9815
345,Austria,AUT,1.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1970,14,Communist/Socialist,0.5,3.0,0.0
346,Austria,AUT,50.0,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1971,11,Social democracy,3.7293,3.4766,8.4495
347,Austria,AUT,43.1,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1971,3,Christian democracy,6.4733,7.6198,8.8451
348,Austria,AUT,5.5,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1971,40,Right-wing,8.3494,8.5149,1.9815
349,Austria,AUT,1.4,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1971,14,Communist/Socialist,0.5,3.0,0.0
346,Austria,AUT,50.0,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1972,11,Social democracy,3.7293,3.4766,8.4495
347,Austria,AUT,43.1,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1972,3,Christian democracy,6.4733,7.6198,8.8451
348,Austria,AUT,5.5,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1972,40,Right-wing,8.3494,8.5149,1.9815
349,Austria,AUT,1.4,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1972,14,Communist/Socialist,0.5,3.0,0.0
346,Austria,AUT,50.0,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1973,11,Social democracy,3.7293,3.4766,8.4495
347,Austria,AUT,43.1,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1973,3,Christian democracy,6.4733,7.6198,8.8451
348,Austria,AUT,5.5,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1973,40,Right-wing,8.3494,8.5149,1.9815
349,Austria,AUT,1.4,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1973,14,Communist/Socialist,0.5,3.0,0.0
346,Austria,AUT,50.0,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1974,11,Social democracy,3.7293,3.4766,8.4495
347,Austria,AUT,43.1,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1974,3,Christian democracy,6.4733,7.6198,8.8451
348,Austria,AUT,5.5,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1974,40,Right-wing,8.3494,8.5149,1.9815
349,Austria,AUT,1.4,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1974,14,Communist/Socialist,0.5,3.0,0.0
350,Austria,AUT,50.4,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1975,11,Social democracy,3.7293,3.4766,8.4495
351,Austria,AUT,42.9,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1975,3,Christian democracy,6.4733,7.6198,8.8451
352,Austria,AUT,5.4,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1975,40,Right-wing,8.3494,8.5149,1.9815
353,Austria,AUT,1.2,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1975,14,Communist/Socialist,0.5,3.0,0.0
350,Austria,AUT,50.4,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1976,11,Social democracy,3.7293,3.4766,8.4495
351,Austria,AUT,42.9,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1976,3,Christian democracy,6.4733,7.6198,8.8451
352,Austria,AUT,5.4,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1976,40,Right-wing,8.3494,8.5149,1.9815
353,Austria,AUT,1.2,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1976,14,Communist/Socialist,0.5,3.0,0.0
350,Austria,AUT,50.4,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1977,11,Social democracy,3.7293,3.4766,8.4495
351,Austria,AUT,42.9,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1977,3,Christian democracy,6.4733,7.6198,8.8451
352,Austria,AUT,5.4,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1977,40,Right-wing,8.3494,8.5149,1.9815
353,Austria,AUT,1.2,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1977,14,Communist/Socialist,0.5,3.0,0.0
350,Austria,AUT,50.4,93.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1978,11,Social democracy,3.7293,3.4766,8.4495
351,Austria,AUT,42.9,80.0,1013,Österreichische Volkspartei,Austrian People's Party,1978,3,Christian democracy,6.4733,7.6198,8.8451
352,Austria,AUT,5.4,10.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1978,40,Right-wing,8.3494,8.5149,1.9815
353,Austria,AUT,1.2,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1978,14,Communist/Socialist,0.5,3.0,0.0
354,Austria,AUT,51.0,95.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1979,11,Social democracy,3.7293,3.4766,8.4495
355,Austria,AUT,41.9,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1979,3,Christian democracy,6.4733,7.6198,8.8451
356,Austria,AUT,6.1,11.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1979,40,Right-wing,8.3494,8.5149,1.9815
357,Austria,AUT,1.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1979,14,Communist/Socialist,0.5,3.0,0.0
354,Austria,AUT,51.0,95.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1980,11,Social democracy,3.7293,3.4766,8.4495
355,Austria,AUT,41.9,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1980,3,Christian democracy,6.4733,7.6198,8.8451
356,Austria,AUT,6.1,11.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1980,40,Right-wing,8.3494,8.5149,1.9815
357,Austria,AUT,1.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1980,14,Communist/Socialist,0.5,3.0,0.0
354,Austria,AUT,51.0,95.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1981,11,Social democracy,3.7293,3.4766,8.4495
355,Austria,AUT,41.9,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1981,3,Christian democracy,6.4733,7.6198,8.8451
356,Austria,AUT,6.1,11.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1981,40,Right-wing,8.3494,8.5149,1.9815
357,Austria,AUT,1.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1981,14,Communist/Socialist,0.5,3.0,0.0
354,Austria,AUT,51.0,95.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1982,11,Social democracy,3.7293,3.4766,8.4495
355,Austria,AUT,41.9,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1982,3,Christian democracy,6.4733,7.6198,8.8451
356,Austria,AUT,6.1,11.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1982,40,Right-wing,8.3494,8.5149,1.9815
357,Austria,AUT,1.0,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1982,14,Communist/Socialist,0.5,3.0,0.0
358,Austria,AUT,47.6,90.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1983,11,Social democracy,3.7293,3.4766,8.4495
359,Austria,AUT,43.2,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1983,3,Christian democracy,6.4733,7.6198,8.8451
360,Austria,AUT,5.0,12.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1983,40,Right-wing,8.3494,8.5149,1.9815
361,Austria,AUT,1.4,0.0,1739,Alternative Liste Österreichs,Alternative List Austria,1983,19,Green/Ecologist,2.5,1.8,6.5
362,Austria,AUT,2.0,0.0,1740,Vereinte Grüne Österreichs,United Greens Austria,1983,19,Green/Ecologist,2.5,1.8,6.5
358,Austria,AUT,47.6,90.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1984,11,Social democracy,3.7293,3.4766,8.4495
359,Austria,AUT,43.2,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1984,3,Christian democracy,6.4733,7.6198,8.8451
360,Austria,AUT,5.0,12.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1984,40,Right-wing,8.3494,8.5149,1.9815
361,Austria,AUT,1.4,0.0,1739,Alternative Liste Österreichs,Alternative List Austria,1984,19,Green/Ecologist,2.5,1.8,6.5
362,Austria,AUT,2.0,0.0,1740,Vereinte Grüne Österreichs,United Greens Austria,1984,19,Green/Ecologist,2.5,1.8,6.5
358,Austria,AUT,47.6,90.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1985,11,Social democracy,3.7293,3.4766,8.4495
359,Austria,AUT,43.2,81.0,1013,Österreichische Volkspartei,Austrian People's Party,1985,3,Christian democracy,6.4733,7.6198,8.8451
360,Austria,AUT,5.0,12.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1985,40,Right-wing,8.3494,8.5149,1.9815
361,Austria,AUT,1.4,0.0,1739,Alternative Liste Österreichs,Alternative List Austria,1985,19,Green/Ecologist,2.5,1.8,6.5
362,Austria,AUT,2.0,0.0,1740,Vereinte Grüne Österreichs,United Greens Austria,1985,19,Green/Ecologist,2.5,1.8,6.5
363,Austria,AUT,43.1,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1986,11,Social democracy,3.7293,3.4766,8.4495
364,Austria,AUT,41.3,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1986,3,Christian democracy,6.4733,7.6198,8.8451
365,Austria,AUT,9.7,18.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1986,40,Right-wing,8.3494,8.5149,1.9815
366,Austria,AUT,4.8,8.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1986,19,Green/Ecologist,2.4604,1.4308,6.6845
367,Austria,AUT,0.7,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1986,14,Communist/Socialist,0.5,3.0,0.0
363,Austria,AUT,43.1,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1987,11,Social democracy,3.7293,3.4766,8.4495
364,Austria,AUT,41.3,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1987,3,Christian democracy,6.4733,7.6198,8.8451
365,Austria,AUT,9.7,18.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1987,40,Right-wing,8.3494,8.5149,1.9815
366,Austria,AUT,4.8,8.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1987,19,Green/Ecologist,2.4604,1.4308,6.6845
367,Austria,AUT,0.7,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1987,14,Communist/Socialist,0.5,3.0,0.0
363,Austria,AUT,43.1,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1988,11,Social democracy,3.7293,3.4766,8.4495
364,Austria,AUT,41.3,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1988,3,Christian democracy,6.4733,7.6198,8.8451
365,Austria,AUT,9.7,18.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1988,40,Right-wing,8.3494,8.5149,1.9815
366,Austria,AUT,4.8,8.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1988,19,Green/Ecologist,2.4604,1.4308,6.6845
367,Austria,AUT,0.7,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1988,14,Communist/Socialist,0.5,3.0,0.0
363,Austria,AUT,43.1,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1989,11,Social democracy,3.7293,3.4766,8.4495
364,Austria,AUT,41.3,77.0,1013,Österreichische Volkspartei,Austrian People's Party,1989,3,Christian democracy,6.4733,7.6198,8.8451
365,Austria,AUT,9.7,18.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1989,40,Right-wing,8.3494,8.5149,1.9815
366,Austria,AUT,4.8,8.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1989,19,Green/Ecologist,2.4604,1.4308,6.6845
367,Austria,AUT,0.7,0.0,769,Kommunistische Partei Österreichs,Communist Party of Austria,1989,14,Communist/Socialist,0.5,3.0,0.0
368,Austria,AUT,42.8,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1990,11,Social democracy,3.7293,3.4766,8.4495
369,Austria,AUT,32.1,60.0,1013,Österreichische Volkspartei,Austrian People's Party,1990,3,Christian democracy,6.4733,7.6198,8.8451
370,Austria,AUT,16.6,33.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1990,40,Right-wing,8.3494,8.5149,1.9815
371,Austria,AUT,4.8,10.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1990,19,Green/Ecologist,2.4604,1.4308,6.6845
372,Austria,AUT,2.0,0.0,1740,Vereinte Grüne Österreichs,United Greens Austria,1990,19,Green/Ecologist,2.5,1.8,6.5
368,Austria,AUT,42.8,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1991,11,Social democracy,3.7293,3.4766,8.4495
369,Austria,AUT,32.1,60.0,1013,Österreichische Volkspartei,Austrian People's Party,1991,3,Christian democracy,6.4733,7.6198,8.8451
370,Austria,AUT,16.6,33.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1991,40,Right-wing,8.3494,8.5149,1.9815
371,Austria,AUT,4.8,10.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1991,19,Green/Ecologist,2.4604,1.4308,6.6845
372,Austria,AUT,2.0,0.0,1740,Vereinte Grüne Österreichs,United Greens Austria,1991,19,Green/Ecologist,2.5,1.8,6.5
368,Austria,AUT,42.8,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1992,11,Social democracy,3.7293,3.4766,8.4495
369,Austria,AUT,32.1,60.0,1013,Österreichische Volkspartei,Austrian People's Party,1992,3,Christian democracy,6.4733,7.6198,8.8451
370,Austria,AUT,16.6,33.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1992,40,Right-wing,8.3494,8.5149,1.9815
371,Austria,AUT,4.8,10.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1992,19,Green/Ecologist,2.4604,1.4308,6.6845
372,Austria,AUT,2.0,0.0,1740,Vereinte Grüne Österreichs,United Greens Austria,1992,19,Green/Ecologist,2.5,1.8,6.5
368,Austria,AUT,42.8,80.0,973,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1993,11,Social democracy,3.7293,3.4766,8.4495
369,Austria,AUT,32.1,60.0,1013,Österreichische Volkspartei,Austrian People's Party,1993,3,Christian democracy,6.4733,7.6198,8.8451
370,Austria,AUT,16.6,33.0,50,Freiheitliche Partei Österreichs,Freedom Party of Austria,1993,40,Right-wing,8.3494,8.5149,1.9815
371,Austria,AUT,4.8,10.0,1429,Die Grünen – Die Grüne Alternative,The Greens -- The Green Alternative,1993,19,Green/Ecologist,2.4604,1.4308,6.6845
