election_year,country_name,vote_share
1992,Italy,17
1992,Lithuania,12
1992,Malta,3
1992,Romania,17
1992,Slovakia,14
1992,Slovenia,18
1992,United Kingdom,10
1993,France,12
1993,Greece,5
1993,Latvia,11
1993,Poland,17
1993,Spain,12
1994,Austria,6
1994,Bulgaria,10
1994,Denmark,14
1994,Germany,7
1994,Hungary,11
1994,Italy,22
1994,Luxembourg,7
1994,Netherlands,13
1994,Slovakia,16
1994,Sweden,8
1995,Austria,6
1995,Belgium,12
1995,Estonia,11
1995,Finland,12
1995,Latvia,15
1995,Portugal,7
1996,Cyprus,8
1996,Czech Republic,10
1996,Greece,6
1996,Italy,14
1996,Lithuania,18
1996,Malta,3
1996,Romania,19
1996,Slovenia,13
1996,Spain,11
1997,Bulgaria,7
1997,France,11
1997,Ireland,10
1997,Poland,11
1997,United Kingdom,12
1998,Czech Republic,9
1998,Denmark,15
1998,Germany,8
1998,Hungary,9
1998,Latvia,10
1998,Malta,3
1998,Netherlands,10
1998,Slovakia,8
1998,Sweden,8
1999,Austria,6
1999,Belgium,12
1999,Estonia,10
1999,Finland,11
1999,Luxembourg,7
1999,Portugal,8
2000,Croatia,16
2000,Greece,5
2000,Lithuania,18
2000,Romania,10
2000,Slovenia,10
2000,Spain,12
2001,Bulgaria,7
2001,Cyprus,8
2001,Denmark,14
2001,Italy,15
2001,Poland,10
2001,United Kingdom,11
2002,Austria,5
2002,Czech Republic,7
2002,France,18
2002,Germany,7
2002,Hungary,7
2002,Ireland,10
2002,Latvia,11
2002,Netherlands,11
2002,Portugal,8
2002,Slovakia,12
2002,Sweden,8
2003,Belgium,11
2003,Croatia,16
2003,Estonia,8
2003,Finland,10
2003,Malta,3
2003,Netherlands,10
2004,Greece,7
2004,Lithuania,11
2004,Luxembourg,7
2004,Romania,8
2004,Slovenia,12
2004,Spain,12
2005,Bulgaria,10
2005,Denmark,13
2005,Germany,7
2005,Poland,11
2005,Portugal,8
2005,United Kingdom,13
2006,Austria,7
2006,Cyprus,8
2006,Czech Republic,6
2006,Hungary,8
2006,Italy,17
2006,Latvia,11
2006,Netherlands,11
2006,Slovakia,9
2006,Sweden,8
2007,Belgium,12
2007,Croatia,12
2007,Denmark,13
2007,Estonia,8
2007,Finland,10
2007,France,14
2007,Greece,6
2007,Ireland,8
2007,Poland,12
2008,Austria,7
2008,Italy,11
2008,Lithuania,14
2008,Malta,3
2008,Romania,8
2008,Slovenia,11
2008,Spain,11
2009,Bulgaria,8
2009,Germany,8
2009,Greece,6
2009,Luxembourg,7
2009,Portugal,6
2010,Belgium,13
2010,Czech Republic,11
2010,Hungary,8
2010,Latvia,6
2010,Netherlands,11
2010,Slovakia,11
2010,Sweden,9
2010,United Kingdom,13
2011,Croatia,17
2011,Cyprus,7
2011,Denmark,13
2011,Estonia,6
2011,Finland,10
2011,Ireland,9
2011,Latvia,6
2011,Poland,8
2011,Portugal,7
2011,Slovenia,12
2011,Spain,16
2012,France,15
2012,Greece,13
2012,Lithuania,13
2012,Netherlands,12
2012,Romania,11
2012,Slovakia,12
2013,Austria,8
2013,Bulgaria,13
2013,Czech Republic,12
2013,Germany,9
2013,Italy,15
2013,Luxembourg,9
2013,Malta,3
2014,Belgium,14
2014,Bulgaria,10
2014,Hungary,11
2014,Latvia,8
2014,Slovenia,13
2014,Sweden,9
2015,Croatia,18
2015,Denmark,14
2015,Estonia,7
2015,Finland,10
2015,Greece,12
2015,Poland,9
2015,Portugal,7
2015,Spain,14
2015,United Kingdom,13
2016,Croatia,9
2016,Cyprus,9
2016,Ireland,12
2016,Lithuania,13
2016,Romania,9
2016,Slovakia,10
2016,Spain,13
2017,Austria,7
2017,Bulgaria,11
2017,Czech Republic,11
2017,France,17
2017,Germany,9
2017,Malta,3
2017,Netherlands,14
2017,United Kingdom,10
2018,Hungary,12
2018,Italy,15
2018,Latvia,10
2018,Luxembourg,8
2018,Slovenia,13
2018,Sweden,8
2019,Estonia,9
2019,Finland,8
2019,Spain,13
