election_year,family_name,vote_share,eu_anti_pro,left_right,liberty_authority
1910,Liberal,20.840000000000003,8.571549999999998,6.0414,3.5965
1910,Right-wing,17.43,2.3,8.8,8.5
1910,Social democracy,17.54,7.93518,3.3900799999999998,3.54178
1910,no family,14.35,7.6051,5.50985,5.38885
1911,Conservative,31.2,8.5872,7.8907,5.6977
1911,Liberal,40.2,9.4643,6.2906,2.8515
1911,Social democracy,28.5,7.4445,3.4447,4.4407
1912,Christian democracy,25.85,8.3,6.2,7.2
1912,Liberal,11.1,8.7,6.0,3.5
1912,Social democracy,18.200000000000003,8.1,3.3,3.5
1913,Conservative,22.4,7.7791,7.2186,6.5055
1913,Liberal,23.65,8.4431,6.082800000000001,3.693
1913,Social democracy,29.6,7.4311,3.8011,4.2722
1913,no family,0.7,7.7791,7.2186,6.5055
1914,Agrarian,0.2,5.5679,5.8084,6.0583
1914,Christian democracy,22.25,8.3,6.2,7.2
1914,Conservative,21.810000000000002,8.080825,6.670075,5.98395
1914,Liberal,21.256666666666664,8.954766666666666,6.096866666666667,3.2838333333333334
1914,Right-wing,18.84,2.3,8.8,8.5
1914,Social democracy,21.0475,7.897324999999999,3.3235,3.59435
1915,Conservative,0.2,7.7791,7.2186,6.5055
1915,Liberal,0.2,8.4431,6.082800000000001,3.693
1915,Social democracy,0.2,7.4311,3.8011,4.2722
1915,no family,0.2,7.7791,7.2186,6.5055
1917,Agrarian,6.926666666666667,5.4982,5.637033333333334,6.592866666666667
1917,Conservative,27.435000000000002,8.2436,7.6453500000000005,6.3488500000000005
1917,Liberal,19.25,8.99635,6.3406,3.3449999999999998
1917,Social democracy,25.816666666666666,8.055166666666667,3.4347333333333334,4.0607999999999995
1918,Agrarian,0.4,5.4,5.3,6.5
1918,Christian democracy,16.633333333333333,8.292933333333334,5.9378,6.914933333333334
1918,Communist/Socialist,3.4499999999999997,4.15,1.05,3.0
1918,Conservative,18.9,6.001133333333333,7.348233333333333,6.898533333333333
1918,Liberal,10.599999999999998,8.701033333333335,5.828122222222222,3.4441
1918,Right-wing,1.175,2.3,8.8,8.5
1918,Social democracy,14.842000000000002,7.74468,3.61146,3.81002
1918,no family,5.0200000000000005,7.52314,3.8227,3.9656
1919,Agrarian,19.7,5.5267,5.8027,7.2203
1919,Christian democracy,22.5875,8.436275,6.268325,7.30495
1919,Communist/Socialist,7.63,3.3,1.3,3.0
1919,Conservative,6.9799999999999995,8.022070000000001,7.043470000000001,6.58253
1919,Liberal,10.087777777777779,8.719822222222223,6.011922222222221,3.537611111111111
1919,Right-wing,15.964999999999998,4.433333333333333,8.799999999999999,8.5
1919,Social democracy,22.299999999999997,8.227455555555558,3.4080777777777778,3.3277666666666668
1919,Special issue,2.27,8.7,6.0,3.5
1919,no family,3.8075,7.633487499999999,4.7892125,3.7310999999999996
1919,to be coded,6.2,8.7,8.8,8.5
1920,Agrarian,3.8550000000000004,5.441974999999999,5.4271,6.389575
1920,Christian democracy,19.97,8.4817,6.2911,7.339933333333334
1920,Communist/Socialist,8.969999999999999,2.1563666666666665,1.2678,2.710533333333333
1920,Conservative,16.039444444444445,7.994383333333334,7.45155,6.700533333333333
1920,Liberal,13.390555555555558,8.74175,6.076033333333334,3.4562500000000003
1920,Right-wing,15.813333333333333,2.3,8.8,8.5
1920,Social democracy,29.410000000000004,7.814225,3.65505,4.0421499999999995
1920,Special issue,0.6,7.7791,7.2185999999999995,6.5055000000000005
1920,no family,0.8144444444444444,3.8986666666666667,4.519366666666667,5.1491999999999996
1921,Agrarian,11.0,5.5679,5.8084,6.0583
1921,Christian democracy,22.049999999999997,8.3,6.2,7.2
1921,Communist/Socialist,3.9,2.2521,1.4232,2.7281
1921,Conservative,25.8,8.5872,7.8907,5.6977
1921,Liberal,18.4,9.082149999999999,6.145300000000001,3.17575
1921,Social democracy,24.633333333333336,7.8815,3.348233333333333,3.8135666666666665
1921,no family,0.4,8.7,6.0,3.5
1922,Agrarian,9.8,5.442233333333334,5.4675666666666665,6.740100000000001
1922,Christian democracy,18.166666666666668,8.292933333333334,5.9378,6.914933333333334
1922,Communist/Socialist,5.866666666666667,5.1883333333333335,1.4281,3.1135333333333333
1922,Conservative,19.621666666666666,6.329750000000001,7.3826,7.256916666666666
1922,Liberal,11.195,8.375187500000001,5.7993500000000004,3.431175
1922,Right-wing,32.65,5.4,8.8,8.5
1922,Social democracy,17.775,7.390416666666667,3.571733333333334,3.32375
1922,no family,9.063999999999998,6.973000000000001,4.1768600000000005,4.468120000000001
1922,to be coded,14.9,5.4,8.8,8.5
1923,Agrarian,12.1,5.4,5.3,6.5
1923,Christian democracy,44.05,8.8451,6.4733,7.6198
1923,Communist/Socialist,0.2,3.3,1.3,3.0
1923,Conservative,29.75,6.77264,7.139479999999999,7.0359799999999995
1923,Liberal,15.299999999999999,8.961549999999999,5.14375,3.05545
1923,Right-wing,27.445,2.3,8.8,8.5
1923,Social democracy,20.325,7.66775,3.752675,3.5904
1923,no family,3.12,4.9573,6.1313,5.901775
1924,Agrarian,2.5040000000000004,5.433580000000001,5.40168,6.41166
1924,Christian democracy,8.4475,8.3,6.2,7.2
1924,Communist/Socialist,4.381666666666667,2.5714333333333337,1.29625,3.10665
1924,Conservative,14.211111111111112,7.347411111111111,7.058333333333334,6.5146
1924,Liberal,10.587222222222222,7.8452111111111105,5.860411111111111,3.3720444444444446
1924,Right-wing,15.3075,2.3,8.8,8.5
1924,Social democracy,26.320833333333336,7.640750000000001,3.632733333333334,3.9010999999999996
1924,Special issue,0.6,7.7791,7.2186,6.5055
1924,no family,0.3,5.03245,2.1285,3.0877
1925,Agrarian,2.2,6.75,5.3,6.5
1925,Christian democracy,14.833333333333334,8.296466666666667,6.0689,7.057466666666667
1925,Communist/Socialist,1.4,4.725,1.1,3.0
1925,Conservative,2.0,2.9307,8.7531,9.7744
1925,Liberal,7.766666666666666,8.4,6.0,3.5
1925,Right-wing,18.933333333333334,8.1,8.8,8.5
1925,Social democracy,20.6,8.1,3.2973749999999997,2.95395
1925,no family,8.024999999999999,8.1,4.672375,4.20395
1926,Communist/Socialist,0.4,0.4167,1.0,3.0
1926,Conservative,20.6,7.7791,7.2186,6.5055
1926,Liberal,13.633333333333333,5.706499999999999,6.0552,3.6286666666666663
1926,Social democracy,37.2,7.4311,3.8011,4.2722
1926,Special issue,0.8,7.7791,7.2186,6.5055
1927,Agrarian,15.125,5.46335,5.551349999999999,6.86015
1927,Christian democracy,24.62,8.57255,6.336650000000001,7.4099
1927,Communist/Socialist,5.6000000000000005,3.921666666666667,1.5947666666666667,3.1135333333333333
1927,Conservative,26.829999999999995,8.1247,7.10328,6.7154
1927,Liberal,9.5,8.789200000000001,6.05365,3.66925
1927,Right-wing,6.32,2.3,8.8,8.5
1927,Social democracy,27.14333333333333,8.066566666666668,3.638,3.6084666666666663
1927,no family,3.7000000000000006,4.543333333333333,1.8895333333333333,3.227066666666667
1928,Agrarian,3.7920000000000003,5.433580000000001,5.40168,6.41166
1928,Christian democracy,5.670000000000001,8.3,6.2,7.2
1928,Communist/Socialist,9.426666666666668,1.8428666666666669,1.2925000000000002,3.2133000000000003
1928,Conservative,12.184285714285712,8.00332857142857,6.9829,6.4194
1928,Liberal,8.219999999999999,7.318255555555556,6.032288888888889,3.4279444444444445
1928,Right-wing,20.47833333333333,3.85,8.799999999999999,8.5
1928,Social democracy,24.516000000000002,7.364219999999999,3.38572,3.23446
1928,Special issue,1.57,8.3,6.2,7.2
1928,no family,11.26,2.3595,1.3741,4.5083
1929,Agrarian,9.433333333333334,5.442233333333334,5.4675666666666665,6.740100000000001
1929,Christian democracy,17.880000000000003,8.295760000000001,6.04268,7.0289600000000005
1929,Communist/Socialist,3.564,3.6663400000000004,1.33686,3.06812
1929,Conservative,17.88,5.529675000000001,7.660724999999999,7.2643
1929,Liberal,11.264,7.8721000000000005,5.85604,3.48354
1929,Social democracy,24.567142857142862,7.920628571428572,3.5595428571428576,3.8274
1929,Special issue,0.7,7.7791,7.2186,6.5055
1929,no family,8.91,6.883333333333333,2.6666666666666665,3.3333333333333335
1930,Agrarian,7.445,5.431675,5.425675,6.680075
1930,Christian democracy,11.156,8.409020000000002,6.254659999999999,7.28396
1930,Communist/Socialist,4.983333333333333,3.4766333333333335,1.4804333333333333,3.005333333333333
1930,Conservative,10.62,8.097433333333333,7.374183333333332,6.764533333333333
1930,Liberal,5.0125,8.7446,6.0268250000000005,3.584625
1930,Right-wing,13.821666666666667,2.3000000000000003,8.799999999999999,8.5
1930,Social democracy,33.29,8.334100000000001,3.644633333333333,3.899133333333333
1931,Agrarian,6.9,5.4,5.3,6.5
1931,Communist/Socialist,0.5249999999999999,4.35,1.3,3.0
1931,Conservative,27.514999999999997,5.11215,7.41305,7.0950500000000005
1931,Liberal,5.493333333333333,7.137183333333335,5.714583333333334,3.3518166666666667
1931,Right-wing,25.35,5.4,8.8,8.5
1931,Social democracy,13.015,7.148075,3.561425,3.148425
1931,no family,9.87,6.75,3.2947499999999996,2.4079
1932,Agrarian,4.085,5.441975000000001,5.427099999999999,6.389575
1932,Christian democracy,11.629,8.3,6.2,7.2
1932,Communist/Socialist,4.6537500000000005,2.5369125,1.2721875,3.0799875
1932,Conservative,15.9285,7.954129999999999,6.95702,6.54311
1932,Liberal,8.64777777777778,7.7870888888888885,6.050688888888889,3.470833333333333
1932,Right-wing,13.820000000000002,2.3,8.8,8.5
1932,Social democracy,22.711875,7.772675,3.4581749999999998,3.6544749999999997
1932,Special issue,0.355,6.58955,6.2593,6.50275
1932,no family,5.5,5.48395,5.5542,6.27915
1933,Agrarian,5.652,5.42534,5.40054,6.6440600000000005
1933,Christian democracy,7.594444444444444,8.297644444444444,6.112600000000001,7.10497777777778
1933,Communist/Socialist,5.6066666666666665,3.4216333333333337,1.0190000000000001,2.8918
1933,Conservative,16.185714285714287,7.3506,7.3813571428571425,7.193057142857143
1933,Liberal,5.168333333333334,8.729733333333334,6.017883333333334,3.556416666666667
1933,Right-wing,25.939999999999998,2.3,8.8,8.5
1933,Social democracy,20.6875,7.945500000000001,3.53245,3.706975
1933,no family,1.6875,7.6625,4.404175,4.25
1934,Communist/Socialist,5.2,8.3,1.3,3.0
1934,Liberal,19.85,8.3,6.0,3.5
1934,Right-wing,21.8,8.3,8.8,8.5
1934,Social democracy,29.4,8.3,3.2895,1.3158
1934,no family,11.6,8.3,6.0,3.5
1935,Agrarian,3.2,5.4,5.3,6.5
1935,Communist/Socialist,0.8833333333333333,2.3389,1.2,3.0
1935,Conservative,21.939999999999998,6.001133333333333,7.348233333333333,6.898533333333333
1935,Liberal,8.0,7.008519999999999,5.69062,3.39938
1935,Right-wing,1.0,2.3,8.8,8.5
1935,Social democracy,21.4875,7.655849999999999,3.689325,3.887525
1935,Special issue,0.8,7.7791,7.2186,6.5055
1935,no family,0.53,8.1,3.3,3.5
1936,Agrarian,9.8575,5.473650000000001,5.552775,6.56965
1936,Christian democracy,14.32,8.3,6.2,7.2
1936,Communist/Socialist,7.265000000000001,2.828425,1.405125,3.2411250000000003
1936,Conservative,12.687500000000002,8.376975,6.631349999999999,5.63075
1936,Liberal,13.712,8.88854,6.07958,3.438
1936,Right-wing,14.21,2.3,8.8,8.5
1936,Social democracy,25.195000000000004,8.051716666666666,3.358916666666667,3.6865166666666664
1936,no family,0.765,5.0089500000000005,3.6041999999999996,4.52915
1937,Agrarian,2.6,9.1708,5.3,6.5
1937,Christian democracy,17.919999999999998,8.469919999999998,6.09012,6.74636
1937,Communist/Socialist,2.15,4.15,1.05,3.0
1937,Conservative,23.55,5.3848,7.4122,8.3821
1937,Liberal,6.539999999999999,8.98248,6.0,3.5
1937,Right-wing,24.900000000000002,5.7354,8.8,8.5
1937,Social democracy,18.966666666666665,8.133333333333333,3.4049,2.640966666666667
1937,no family,6.033333333333332,7.213866666666667,4.433333333333334,3.3333333333333335
1938,Christian democracy,33.3,9.1708,6.4372,5.787000000000001
1938,Conservative,51.9,7.8389,6.0713,6.9898
1938,Social democracy,10.0,7.1292,3.6252,3.1071
1938,no family,4.7,8.3,6.2,7.2
1939,Agrarian,9.346666666666666,5.442233333333334,5.4675666666666665,6.740100000000001
1939,Christian democracy,16.79,8.3,6.2,7.2
1939,Communist/Socialist,3.5250000000000004,2.43335,1.2,3.0
1939,Conservative,9.75,8.165925,7.315925,6.523174999999999
1939,Liberal,10.213333333333333,7.232983333333332,6.045483333333333,3.6207499999999997
1939,Right-wing,2.183333333333333,2.3,8.8,8.5
1939,Social democracy,30.135,8.063025,3.49015,3.878475
1939,no family,0.49,6.562500000000001,3.679175,4.175
1940,Agrarian,12.0,5.5679,5.8084,6.0583
1940,Communist/Socialist,2.05,2.2521,1.4232,2.7281
1940,Conservative,18.0,8.5872,7.8907,5.6977
1940,Liberal,12.0,9.4643,6.2906,2.8515
1940,Social democracy,53.8,7.4445,3.4447,4.4407
1943,Agrarian,5.5,5.4,5.3,6.5
1943,Christian democracy,23.1,9.1708,6.4372,5.787000000000001
1943,Conservative,31.45,7.808999999999999,6.64495,6.74765
1943,Liberal,9.666666666666666,5.706499999999999,6.0552,3.6286666666666663
1943,Right-wing,2.1500000000000004,2.3,8.8,8.5
1943,Social democracy,30.1,7.28015,3.7131499999999997,3.68965
1943,no family,2.325,7.105175,7.22325,6.644875000000001
1944,Agrarian,12.2,5.48395,5.5542,6.27915
1944,Christian democracy,20.5,9.1708,6.4372,5.787000000000001
1944,Communist/Socialist,5.25,2.2521,1.4232,2.7281
1944,Conservative,32.35,8.213049999999999,6.981,6.34375
1944,Liberal,12.9,9.4643,6.2906,2.8515
1944,Social democracy,19.3,7.557899999999999,3.456633333333334,3.6825999999999994
1944,no family,7.79,9.1708,6.4372,5.787000000000001
1945,Agrarian,11.299999999999999,5.46335,5.551349999999999,6.86015
1945,Christian democracy,38.70820062363333,8.3633,7.040233333333333,7.439933333333333
1945,Communist/Socialist,10.25875,3.22325,1.2823000000000002,3.2311125
1945,Conservative,18.756,6.870540000000001,6.688599999999999,6.148560000000001
1945,Liberal,8.538888888888888,7.61228888888889,5.904366666666666,3.3998444444444447
1945,Right-wing,3.1,2.3,8.8,8.5
1945,Social democracy,25.089999999999996,7.918450000000001,3.609,3.4978999999999996
1945,no family,10.1,6.945466666666667,4.21745,4.613033333333333
1946,Agrarian,0.44,5.4,5.3,6.5
1946,Christian democracy,26.08333333333334,8.3102,6.2703,6.972166666666667
1946,Communist/Socialist,14.196000000000002,3.6819,1.29482,3.3016599999999996
1946,Conservative,6.756666666666667,6.959883333333334,7.7861166666666675,7.499383333333333
1946,Liberal,5.022500000000001,8.093725,6.079649999999999,4.13885
1946,Right-wing,2.77,2.3,8.8,8.5
1946,Social democracy,17.005,7.99475,3.438883333333333,3.814916666666667
1946,Special issue,0.74,5.4,5.3,6.5
1946,no family,0.47666666666666674,7.582366666666665,5.549400000000001,3.7962333333333333
1946,to be coded,2.16,8.3,6.2,7.2
1947,Communist/Socialist,6.8,0.4167,1.0,3.0
1947,Conservative,14.576666666666668,7.5471,6.777633333333334,6.8076
1947,Liberal,12.993333333333332,5.706499999999999,6.0552,3.6286666666666663
1947,Right-wing,1.2,2.3,8.8,8.5
1947,Social democracy,49.93,7.4311,4.0058,5.2940000000000005
1947,Special issue,4.34,7.4311,4.0058,5.2940000000000005
1947,no family,20.07,7.4311,4.0058,5.2940000000000005
1948,Agrarian,8.568000000000001,5.458920000000001,5.5022199999999994,6.555720000000001
1948,Christian democracy,22.33285714285714,7.576,6.043771428571428,6.845714285714286
1948,Communist/Socialist,16.38,3.39384,1.48614,2.95936
1948,Conservative,17.346,7.268279999999999,7.47204,7.0098199999999995
1948,Liberal,8.788333333333332,7.386266666666668,6.2159,3.7514333333333334
1948,Right-wing,2.8699999999999997,2.3,8.925933333333335,8.5
1948,Social democracy,18.913,7.43406,3.6723499999999993,3.6048099999999996
1948,Special issue,0.3566666666666667,5.779799999999999,6.262766666666667,7.238600000000001
1948,no family,0.37999999999999995,6.839300000000001,6.3618,5.558566666666667
1949,Christian democracy,24.32,8.123099999999999,6.482139999999999,7.36412
1949,Communist/Socialist,6.1000000000000005,2.1383,0.9523333333333334,2.8918
1949,Conservative,4.1,7.9,7.4,7.0
1949,Liberal,13.575,8.592749999999999,5.961650000000001,3.28475
1949,Right-wing,4.625,3.25145,8.120375,7.893725
1949,Social democracy,32.550000000000004,8.160433333333334,3.2914666666666665,3.6519
1949,no family,1.57,5.344225000000001,6.9296,7.149725
1950,Christian democracy,47.68,8.3,6.2,7.2
1950,Communist/Socialist,3.2000000000000006,2.722233333333333,1.2333333333333334,3.0
1950,Conservative,21.182,6.57312,7.1118,6.922579999999999
1950,Liberal,11.017142857142856,7.310528571428571,5.779014285714285,3.4281285714285716
1950,Social democracy,24.84857142857143,7.655085714285714,3.538257142857143,4.1237
1950,Special issue,0.55,7.6051,5.50985,5.38885
1950,no family,10.417500000000002,7.765549999999999,3.425275,3.69305
1951,Agrarian,8.83,5.442233333333334,5.4675666666666665,6.740100000000001
1951,Christian democracy,26.27333333333333,8.880533333333334,7.028200000000001,6.829000000000001
1951,Communist/Socialist,12.95,4.998825,1.5395999999999999,3.462225
1951,Conservative,21.86888888888889,7.471911111111112,7.2022666666666675,6.878477777777778
1951,Liberal,7.8116666666666665,8.97385,5.82895,3.285433333333333
1951,Social democracy,23.933750000000003,8.2874625,3.611275,3.6493749999999996
1951,Special issue,0.575,8.08155,5.4018,5.8889499999999995
1951,no family,4.873333333333333,8.035966666666667,4.6809,4.333866666666666
1952,Agrarian,10.7,5.5679,5.8084,6.0583
1952,Christian democracy,12.9025,8.148625000000001,5.940175,6.85825
1952,Communist/Socialist,5.23,3.1021,1.1732,2.7281
1952,Conservative,5.830000000000001,5.0009,8.262733333333333,8.036166666666668
1952,Liberal,16.615,7.7057,6.8194,3.6201
1952,Social democracy,25.02333333333333,7.844966666666667,3.452166666666667,3.7144999999999997
1953,Christian democracy,21.433333333333334,8.2637,6.345299999999999,7.336766666666667
1953,Communist/Socialist,8.662500000000001,1.4203999999999999,1.01425,2.91885
1953,Conservative,12.902000000000001,8.3025,7.02658,6.884559999999999
1953,Liberal,6.66625,7.474937499999999,5.9386625,3.702775
1953,Right-wing,5.233333333333334,2.246916666666667,8.787866666666666,8.502483333333332
1953,Social democracy,26.474285714285713,8.474,3.8684000000000003,4.004814285714286
1953,Special issue,0.475,7.6937,6.3093,6.70275
1953,no family,13.936666666666666,8.414299999999999,5.311833333333333,6.364
1954,Agrarian,13.595,5.46335,5.551349999999999,6.86015
1954,Christian democracy,29.0625,8.7354,6.321149999999999,6.92175
1954,Communist/Socialist,8.565000000000001,5.52145,1.5460749999999999,3.08515
1954,Conservative,19.993333333333336,8.2745,6.905466666666666,6.525666666666666
1954,Liberal,6.783333333333334,8.886666666666667,6.114366666666666,3.433616666666667
1954,Right-wing,2.2,6.4243,6.5321,6.06
1954,Social democracy,22.556,8.2242,3.25484,3.13292
1954,Special issue,0.2,8.1,3.3,3.5
1954,no family,10.9,6.6325,2.7421499999999996,3.4203
1955,Communist/Socialist,0.6,3.3,1.3,3.0
1955,Conservative,23.3825,7.141475,7.0851,7.0268500000000005
1955,Liberal,1.6500000000000001,8.961549999999999,5.14375,3.05545
1955,Social democracy,51.565,8.08155,4.28335,5.29685
1955,Special issue,0.2,7.8314,3.1183,3.7107
1956,Agrarian,9.5,5.5679,5.8084,6.0583
1956,Christian democracy,21.426,8.28792,6.4468000000000005,7.010560000000001
1956,Communist/Socialist,10.0125,2.140925,1.055125,3.2411250000000003
1956,Conservative,8.2225,6.733425,7.417675,7.0710625
1956,Liberal,16.285,7.7057,6.8194,3.6201
1956,Right-wing,3.85,2.1407499999999997,8.5747,8.50745
1956,Social democracy,27.098000000000003,7.9858400000000005,3.46702,3.51136
1956,no family,2.02,8.37255,7.33665,7.3099
1957,Agrarian,2.36,5.4,5.3,6.5
1957,Christian democracy,25.61,8.113733333333334,6.6582,6.8626000000000005
1957,Communist/Socialist,4.225,1.85835,1.15,3.0
1957,Conservative,17.502499999999998,7.8545,7.022475,6.873824999999999
1957,Liberal,9.64,6.861,6.01778,3.4911000000000003
1957,Right-wing,2.8,2.3,8.8,8.5
1957,Social democracy,26.77,7.497366666666667,3.690466666666666,3.7861333333333334
1957,Special issue,0.4,7.7791,7.2186,6.5055
1957,no family,14.796666666666667,6.300633333333333,6.3461,6.1864
1958,Agrarian,17.9,5.5473,5.80555,6.6393
1958,Christian democracy,33.333333333333336,8.522233333333334,6.687033333333333,7.2
1958,Communist/Socialist,14.020000000000001,3.29574,1.6209600000000002,3.26102
1958,Conservative,12.742857142857142,8.076642857142856,7.098428571428571,6.2492714285714275
1958,Liberal,6.700000000000001,8.710071428571428,5.974042857142857,3.6938142857142857
1958,Right-wing,2.5250000000000004,3.3310750000000002,8.327475,7.89
1958,Social democracy,14.440000000000001,8.208250000000001,3.43463,3.56091
1958,Special issue,0.2866666666666667,6.002766666666666,5.959266666666667,6.3
1958,no family,0.395,8.9667,5.6611,7.2
1959,Christian democracy,26.042,8.39694,6.09628,7.07056
1959,Communist/Socialist,4.155,4.7112750000000005,0.8,3.0
1959,Conservative,14.532499999999999,4.15995,8.030899999999999,8.150225
1959,Liberal,10.615,8.178825,6.053649999999999,3.3156999999999996
1959,Right-wing,7.7,1.9815,8.3494,8.5149
1959,Social democracy,38.47,8.069325000000001,3.7466999999999997,3.068275
1959,Special issue,0.3,7.8314,3.1183,3.7107
1959,no family,0.475,8.33825,4.78285,5.60535
1960,Agrarian,13.6,5.5679,5.8084,6.0583
1960,Communist/Socialist,2.8,0.81045,1.2732,2.7281
1960,Conservative,17.25,8.18315,7.5546500000000005,6.1015999999999995
1960,Green/Ecologist,6.1,3.5917,2.1347,2.1476
1960,Liberal,9.98,7.05676,6.091240000000001,3.4475000000000002
1960,Social democracy,44.95,7.437799999999999,3.6229,4.35645
1960,Special issue,0.4,7.7791,7.2186,6.5055
1960,no family,21.05,6.499499999999999,4.80475,5.16525
1961,Agrarian,1.51,5.4,5.3,6.5
1961,Christian democracy,23.945999999999998,8.18824,6.47492,6.99756
1961,Communist/Socialist,1.986666666666667,3.6833333333333336,1.3333333333333333,3.0
1961,Conservative,15.92,7.8796333333333335,6.9571000000000005,6.9966
1961,Liberal,12.565000000000001,8.592749999999999,5.961650000000001,3.28475
1961,Right-wing,3.5,6.4243,6.5321,6.06
1961,Social democracy,28.183333333333337,7.7203333333333335,3.256766666666666,3.5287333333333333
1961,no family,1.1024999999999998,8.4177,6.5593,6.796749999999999
1962,Agrarian,12.575,3.3106,6.2179,7.60965
1962,Christian democracy,26.599999999999998,8.57255,7.33665,7.4099
1962,Communist/Socialist,12.2275,2.706125,1.3396000000000001,3.462225
1962,Conservative,16.677142857142858,6.427899999999999,6.738614285714285,6.305542857142856
1962,Liberal,4.306666666666666,8.759466666666667,6.0357666666666665,3.612833333333333
1962,Right-wing,3.75,2.1407499999999997,8.5747,8.50745
1962,Social democracy,18.98714285714286,5.716471428571428,3.5212285714285714,3.9244
1962,Special issue,0.3,8.8451,6.4733,7.6198
1962,no family,0.46,2.3,3.3,3.5
1963,Agrarian,2.13,5.4,5.3,6.5
1963,Christian democracy,21.869999999999997,8.3153,5.80545,6.85825
1963,Communist/Socialist,10.366666666666667,4.433333333333334,1.0000000000000002,3.0
1963,Conservative,1.6133333333333333,4.771833333333333,8.099166666666667,8.470266666666667
1963,Liberal,6.2299999999999995,7.491633333333333,6.2562,4.3518
1963,Right-wing,5.1,2.3,9.1778,8.5
1963,Social democracy,15.969999999999999,8.520866666666668,4.001533333333334,3.230933333333333
1963,Special issue,0.27,4.95415,7.2889,7.7
1963,no family,0.44999999999999996,6.65,6.35,6.75
1964,Agrarian,13.2,5.5679,5.8084,6.0583
1964,Christian democracy,17.54,5.7257,6.8212,7.74985
1964,Communist/Socialist,6.29,1.7375333333333334,1.2821333333333333,2.818733333333333
1964,Conservative,17.98,6.8981200000000005,7.547079999999999,6.678659999999999
1964,Green/Ecologist,5.8,3.5917,2.1347,2.1476
1964,Liberal,8.907777777777778,7.277622222222222,5.924733333333333,3.290177777777778
1964,Social democracy,42.745,6.3649000000000004,3.722875,3.57665
1964,Special issue,3.105,5.71155,4.78285,5.60535
1964,no family,41.9,7.4311,3.8011,4.2722
1965,Christian democracy,29.0825,8.1603,6.54365,6.946949999999999
1965,Communist/Socialist,2.9499999999999997,3.875,1.35,3.0
1965,Conservative,24.21,7.8694500000000005,6.73565,6.9948999999999995
1965,Liberal,10.800000000000002,8.637633333333333,6.0164,4.123166666666667
1965,Right-wing,4.35,3.6115999999999997,8.17835,7.74095
1965,Social democracy,27.653333333333332,7.7203333333333335,3.256766666666666,3.5287333333333333
1965,no family,0.9025,6.642425,7.165450000000001,7.402225
1966,Agrarian,11.1,3.3106,6.2179,7.60965
1966,Christian democracy,24.400000000000002,6.0277,6.83085,7.9637
1966,Communist/Socialist,21.2,5.165,2.1843,3.3406
1966,Conservative,22.055000000000003,5.584766666666667,7.134016666666667,6.7000166666666665
1966,Green/Ecologist,10.9,3.5917,2.1347,2.1476
1966,Liberal,7.51125,8.7234625,5.82005,3.479425
1966,Right-wing,4.3149999999999995,2.1407499999999997,8.5747,8.50745
1966,Social democracy,23.27777777777778,6.343211111111113,3.6826333333333334,4.116277777777778
1966,Special issue,0.3,3.5917,2.1347,2.1476
1966,no family,38.26,7.4311,3.8011,4.2722
1966,to be coded,0.1,8.7,6.0,3.5
1967,Agrarian,4.77,5.4,5.3,6.5
1967,Christian democracy,14.66,8.3151,5.820575,6.409075
1967,Communist/Socialist,7.7700000000000005,3.914875,1.018525,3.377075
1967,Conservative,8.934,5.95802,7.94376,7.7614
