election_year,party_name_english,country_name,country_name_short,vote_share,seats,party_id,party_name,family_id,family_name,left_right,liberty_authority,eu_anti_pro
1946,Sardinian Action Party,Italy,ITA,0.34,2.0,335,Partito Sardo d'Azione,11,Social democracy,4.2,6.25,7.0833
1946,Socialist Party,France,FRA,17.9,90.0,1539,Parti socialiste,11,Social democracy,3.2493,2.9367,7.9448
1946,one seat,Italy,ITA,0.62,3.0,2302,one seat,12,no family,,,
1947,Communist Party of Denmark,Denmark,DNK,6.8,9.0,1239,Danmarks Kommunistiske Parti,14,Communist/Socialist,1.0,3.0,0.4167
1947,Conservatives,Denmark,DNK,12.4,17.0,590,Konservative,26,Conservative,7.2186,6.5055,7.7791
1947,Danish Social Liberal Party,Denmark,DNK,6.9,10.0,211,Det Radikale Venstre,6,Liberal,4.8736,2.3903,7.8594
1947,Danish Union,Denmark,DNK,1.2,0.0,412,Dansk Samling,40,Right-wing,8.8,8.5,2.3
1947,Democratic Action Party,Malta,MLT,13.28,4.0,816,Democratic Action Party,26,Conservative,7.4,7.0,
1947,Gozo Party,Malta,MLT,5.21,3.0,1298,Gozo Party,16,Special issue,,,
1947,Greenland and Faroe Islands,Denmark,DNK,,2.0,1634,Grønland og Færøerne,12,no family,,,
1947,Jones Party,Malta,MLT,3.47,2.0,248,Jones Party,16,Special issue,,,
1947,Justice Party,Denmark,DNK,4.5,6.0,1606,Retsforbund,6,Liberal,6.0,3.5,0.2333
1947,Liberal Party,Denmark,DNK,27.58,49.0,1605,Venstre,6,Liberal,7.292000000000001,4.9957,9.0268
1947,Malta Labour Party,Malta,MLT,59.86,24.0,1003,Partit Laburista,11,Social democracy,4.2105,6.3158,
1947,Nationalist Party,Malta,MLT,18.05,7.0,984,Partit Nazzjonalista,26,Conservative,5.7143,6.9173,
1947,Social Democrats,Denmark,DNK,40.0,57.0,1629,Socialdemokraterne,11,Social democracy,3.8011,4.2722,7.4311
1947,no party affiliation,Malta,MLT,0.14,0.0,1572,no party affiliation,12,no family,,,
1948,Agrarian Party,Italy,ITA,0.37,1.0,618,Partito dei Contadini d'Italia,2,Agrarian,5.3,6.5,5.4
1948,Aland Coalition,Finland,FIN,0.4,1.0,66,Åländsk Samlingin ääntä – Åländsk Samling,16,Special issue,,,
1948,Anti-Revolutionary Party,Netherlands,NLD,13.21,13.0,300,Anti-Revolutionaire Partij,3,Christian democracy,5.8067,6.7724,8.2894
1948,Catholic National Party,Netherlands,NLD,1.26,1.0,3,Katholieke Nationale Partij,3,Christian democracy,6.2,7.2,8.3
1948,Catholic Peoples Party,Netherlands,NLD,31.04,32.0,451,Katholieke Volkspartij,3,Christian democracy,5.9473,6.6882,7.7157
1948,Centre Party,Sweden,SWE,12.4,30.0,1461,Centerpartiet,2,Agrarian,5.8084,6.0583,5.5679
1948,Christian Democrats,Italy,ITA,48.5,305.0,1633,Democrazia Cristiana,3,Christian democracy,5.6611,7.2,8.9667
1948,Christian Historical Union,Netherlands,NLD,9.19,9.0,405,Christelijk-Historische Unie,3,Christian democracy,5.8067,6.7724,8.2894
1948,Christian Social People's Party,Luxembourg,LUX,33.3,22.0,1234,Chrëschtlech Sozial Vollekspartei – Parti populaire chrétien social – Christlich Soziale Volkspartei,3,Christian democracy,6.4474,7.5,
1948,Communist Party,Italy,ITA,31.0,131.0,1088,Partito Comunista Italiano,14,Communist/Socialist,1.6,3.0,3.3
1948,Communist Party of Luxembourg,Luxembourg,LUX,16.86,5.0,151,Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,14,Communist/Socialist,1.3,3.0,
1948,Communist Party of the Netherlands,Netherlands,NLD,7.74,8.0,1194,Communistische Partij Nederland,14,Communist/Socialist,0.8,3.0,5.0
1948,Democratic Party,Luxembourg,LUX,8.38,9.0,967,Demokratesch Partei – Parti Démocratique – Demokratische Partei,6,Liberal,6.5789,2.7632,
1948,Democratic Union | Left Alliance,Finland,FIN,20.0,38.0,1292,Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet ,14,Communist/Socialist,2.1843,3.3406,5.165
1948,Fianna Fail,Ireland,IRL,41.85,68.0,280,Fianna Fáil,26,Conservative,6.0713,6.9898,7.8389
1948,Fine Gael (Familiy of the Irish),Ireland,IRL,19.83,31.0,1393,Fine Gael,3,Christian democracy,6.4372,5.787000000000001,9.1708
1948,Italian Democratic Socialist Party,Italy,ITA,7.07,33.0,242,Partito Socialista Democratico Italiano,11,Social democracy,4.6206,2.99,8.8222
1948,Italian Social Movement,Italy,ITA,2.01,6.0,831,Movimento Sociale Italiano,40,Right-wing,9.1778,8.5,2.3
1948,Italian Socialist Party,Italy,ITA,,52.0,1475,Partito Socialista Italiano,11,Social democracy,3.7722,3.5,8.75
1948,Labour Party,Netherlands,NLD,25.6,27.0,742,Partij van de Arbeid,11,Social democracy,3.6118,3.2028,7.9904
1948,Left Party (Communists),Sweden,SWE,6.3,8.0,882,Vänsterpartiet (kommunisterna),14,Communist/Socialist,1.5464,2.4562,1.2042
1948,Left Socialist Party,Sweden,SWE,0.1,0.0,2406,Vänstersocialistiska Partiet,11,Social democracy,3.3,3.5,8.1
1948,Luxembourg Socialist Workers' Party,Luxembourg,LUX,41.46,15.0,701,Lëtzebuerger Sozialistesch Arbechterpartei – Parti Ouvrier Socialiste Luxembourgeois – Luxemburger Sozialistische Arbeiterpartei,11,Social democracy,3.2895,1.3158,
1948,Moderate Party,Sweden,SWE,12.3,23.0,657,Moderaterna,26,Conservative,7.8907,5.6977,8.5872
1948,Monarchist National Party,Italy,ITA,2.8,14.0,1050,Partito Nazionale Monarchico,40,Right-wing,8.8,8.5,2.3
1948,Movement for the Independence of Sicily,Italy,ITA,0.2,0.0,1028,Movimento Indipendentista Siciliano,16,Special issue,,,
1948,National Bloc,Italy,ITA,3.8,19.0,1713,Blocco Nazionale,40,Right-wing,8.8,8.5,2.3
1948,National Coalition Party,Finland,FIN,17.0,33.0,1118,Kansallinen Kokoomus – Samlingspartiet,26,Conservative,7.2451,5.5872,9.0846
1948,National Labour Party,Ireland,IRL,2.57,5.0,156,National Labour Party,11,Social democracy,3.3,3.5,8.1
1948,National Progressive Party | [Finnish] Liberal People's Party,Finland,FIN,3.9,5.0,1219,Kansallinen Edistyspuolue | [Suomen] Liberaalinen Kansanpuolue,6,Liberal,5.7167,3.5,9.05
1948,Party of Smallholders and Rural People,Finland,FIN,0.29,0.0,2293,Pienviljelijäin ja maalaiskansan puolue,2,Agrarian,5.3,6.5,5.4
1948,Party of the Land,Ireland,IRL,5.58,7.0,923,Clann na Talmhan,2,Agrarian,5.3,6.5,5.4
1948,People's Party,Sweden,SWE,22.7,57.0,892,Folkpartiet,6,Liberal,6.2906,2.8515,9.4643
1948,People's Party for Freedom and Democracy,Netherlands,NLD,7.95,8.0,1409,Volkspartij voor Vrijheid en Democratie,6,Liberal,7.3482,4.3887,5.9471
1948,Political Reformed Party,Netherlands,NLD,2.37,2.0,1251,Staatkundig Gereformeerde Partij,26,Conservative,8.7531,9.7744,2.9307
1948,Republican Party,Italy,ITA,2.5,9.0,93,Partito Repubblicano Italiano,6,Liberal,4.9704,5.1667,9.0278
1948,Sardinian Action Party,Italy,ITA,0.24,1.0,335,Partito Sardo d'Azione,11,Social democracy,4.2,6.25,7.0833
1948,Social Democratic Party of Finland,Finland,FIN,26.3,54.0,395,Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti,11,Social democracy,3.5595,4.2417,8.621
1948,Social Democrats,Sweden,SWE,46.1,112.0,904,Socialdemokraterna,11,Social democracy,3.4447,4.4407,7.4445
1948,South Tyrol Peoples Party,Italy,ITA,0.47,3.0,1030,Südtiroler Volkspartei,16,Special issue,5.4,6.9,7.6083
1948,Swedish People's Party,Finland,FIN,7.3,13.0,585,Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland,6,Liberal,6.3906,3.8385,8.5284
1948,no party affiliation,Ireland,IRL,,12.0,30,no party affiliation,12,no family,,,
1949,Austrian People's Party,Austria,AUT,44.0,77.0,1013,Österreichische Volkspartei,3,Christian democracy,6.4733,7.6198,8.8451
1949,Bavarian Party,Germany,DEU,4.2,17.0,1131,Bayernpartei,26,Conservative,7.4,7.0,7.9
1949,Belgian Socialist Party,Belgium,BEL,29.75,66.0,167,Belgische Socialistische Partij – Parti Socialiste Belge,11,Social democracy,2.5,3.5,8.1
1949,Centre Party,Germany,DEU,3.1,10.0,137,Deutsche Zentrumspartei,3,Christian democracy,6.2,7.2,8.3
1949,Christian Democratic Union,Germany,DEU,25.2,115.0,808,Christlich Demokratische Union,3,Christian democracy,6.2503,6.9333,8.5024
1949,Christian Social Union,Germany,DEU,5.8,24.0,1180,Christlich Soziale Union,3,Christian democracy,7.2871,7.8675,6.667999999999999
1949,Communist Party,Belgium,BEL,7.5,12.0,708,Kommunistische Partij – Parti Communiste,14,Communist/Socialist,1.4,3.0,4.45
1949,Communist Party of Austria,Austria,AUT,5.1,5.0,769,Kommunistische Partei Österreichs,14,Communist/Socialist,0.5,3.0,0.0
1949,Communist Party of Germany,Germany,DEU,5.7,15.0,649,Kommunistische Partei Deutschlands,14,Communist/Socialist,0.9570000000000001,2.6754,1.9649
1949,Economic Reconstruction League,Germany,DEU,2.9,12.0,1420,Wirtschaftliche Aufbauvereinigung,40,Right-wing,8.8,8.5,2.3
1949,Francophone Christian Social Party and Flemish Christian People's Party,Belgium,BEL,43.5,105.0,1051,Parti Social Chrétien – Christelijke Volkspartij,3,Christian democracy,6.2,7.2,8.3
1949,Free Democratic Party,Germany,DEU,11.9,52.0,543,Freie Demokratische Partei,6,Liberal,5.9233,3.0695,8.4855
1949,Freedom Party of Austria,Austria,AUT,11.7,16.0,50,Freiheitliche Partei Österreichs,40,Right-wing,8.3494,8.5149,1.9815
1949,German Party,Germany,DEU,4.0,17.0,912,Deutsche Partei,26,Conservative,7.4,7.0,7.9
1949,German Reich Party,Germany,DEU,1.8,5.0,187,Deutsche Reichspartei,40,Right-wing,8.8,8.5,2.3
1949,Liberal Party,Belgium,BEL,15.25,29.0,63,Liberale Partij – Parti libéral,6,Liberal,6.0,3.5,8.7
1949,People's Union,Belgium,BEL,2.1,0.0,290,Volksunie,40,Right-wing,6.5321,6.06,6.4243
1949,Social Democratic Party of Austria,Austria,AUT,38.7,67.0,973,Sozialdemokratische Partei Österreichs,11,Social democracy,3.7293,3.4766,8.4495
1949,Social Democratic Party of Germany,Germany,DEU,29.2,131.0,558,Sozialdemokratische Partei Deutschlands,11,Social democracy,3.6451,3.9791,7.9318
1949,no party affiliation,Germany,DEU,4.8,3.0,610,parteilos,12,no family,,,
1949,one seat,Germany,DEU,0.3,1.0,2289,one seat,12,no family,,,
1950,Belgian Socialist Party,Belgium,BEL,34.5,73.0,167,Belgische Socialistische Partij – Parti Socialiste Belge,11,Social democracy,2.5,3.5,8.1
1950,Cartel of Liberals and Socialists,Belgium,BEL,1.77,4.0,1335,Kartel Liberale en Socialistische,11,Social democracy,3.3,3.5,8.1
1950,Communist Party,Belgium,BEL,4.7,7.0,708,Kommunistische Partij – Parti Communiste,14,Communist/Socialist,1.4,3.0,4.45
1950,Communist Party of Denmark,Denmark,DNK,4.6,7.0,1239,Danmarks Kommunistiske Parti,14,Communist/Socialist,1.0,3.0,0.4167
1950,Communist Party of Great Britain,United Kingdom,GBR,0.3,0.0,1276,Communist Party of Great Britain,14,Communist/Socialist,1.3,3.0,3.3
1950,Conservatives,United Kingdom,GBR,17.8,282.0,773,Conservatives,26,Conservative,7.4261,7.1901,2.3243
1950,Conservatives and National Liberals,United Kingdom,GBR,43.4,,1496,Conservatives and National Liberals,26,Conservative,7.8,7.0,7.9
1950,Constitutionalist Party,Malta,MLT,9.97,4.0,1033,Partit Kostituzzjonali,6,Liberal,6.0,3.5,
1950,Danish Social Liberal Party,Denmark,DNK,8.2,12.0,211,Det Radikale Venstre,6,Liberal,4.8736,2.3903,7.8594
1950,Democratic Action Party,Malta,MLT,5.99,1.0,816,Democratic Action Party,26,Conservative,7.4,7.0,
1950,Francophone Christian Social Party and Flemish Christian People's Party,Belgium,BEL,47.68,108.0,1051,Parti Social Chrétien – Christelijke Volkspartij,3,Christian democracy,6.2,7.2,8.3
1950,Greenland and Faroe Islands,Denmark,DNK,,2.0,1634,Grønland og Færøerne,12,no family,,,
1950,Jones Party,Malta,MLT,0.8,0.0,248,Jones Party,16,Special issue,,,
1950,Justice Party,Denmark,DNK,8.2,12.0,1606,Retsforbund,6,Liberal,6.0,3.5,0.2333
1950,Labour,United Kingdom,GBR,46.1,315.0,1556,Labour Party,11,Social democracy,4.3562,4.2779,6.9923
1950,Liberal Party,Denmark,DNK,21.3,32.0,1605,Venstre,6,Liberal,7.292000000000001,4.9957,9.0268
1950,Liberals,United Kingdom,GBR,9.1,9.0,659,Liberals,6,Liberal,4.2875,2.6109,9.2231
1950,Malta Labour Party,Malta,MLT,28.58,11.0,1003,Partit Laburista,11,Social democracy,4.2105,6.3158,
1950,Malta Workers' Party,Malta,MLT,23.19,11.0,1274,Malta Workers' Party,11,Social democracy,3.3,3.5,
1950,National Liberal Party,United Kingdom,GBR,,16.0,1017,National Liberal Party,6,Liberal,6.0,3.5,8.7
1950,Nationalist Party,Malta,MLT,29.62,12.0,984,Partit Nazzjonalista,26,Conservative,5.7143,6.9173,8.1
1950,Schleswig Party,Denmark,DNK,0.3,0.0,812,Slesvigsk Parti,16,Special issue,,,
1950,Social Democrats,Denmark,DNK,39.6,59.0,1629,Socialdemokraterne,11,Social democracy,3.8011,4.2722,7.4311
1950,no party affiliation,Malta,MLT,1.84,1.0,1572,no party affiliation,12,no family,,,
1950,others,United Kingdom,GBR,,1.0,453,others,12,no family,,,
1951,Aland Coalition,Finland,FIN,0.3,1.0,66,Åländsk Samlingin ääntä – Åländsk Samling,16,Special issue,,,
1951,Centre Party,Finland,FIN,23.3,51.0,94,Keskusta,2,Agrarian,5.8027,7.2203,5.5267
1951,Christian Social People's Party,Luxembourg,LUX,40.57,21.0,1234,Chrëschtlech Sozial Vollekspartei – Parti populaire chrétien social – Christlich Soziale Volkspartei,3,Christian democracy,6.4474,7.5,
1951,Communist Party of Great Britain,United Kingdom,GBR,0.1,0.0,1276,Communist Party of Great Britain,14,Communist/Socialist,1.3,3.0,3.3
1951,Communist Party of Luxembourg,Luxembourg,LUX,3.4,4.0,151,Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,14,Communist/Socialist,1.3,3.0,
1951,Conservatives,United Kingdom,GBR,,302.0,773,Conservatives,26,Conservative,7.4261,7.1901,2.3243
1951,Conservatives and National Liberals,United Kingdom,GBR,48.0,,1496,Conservatives and National Liberals,26,Conservative,7.8,7.0,7.9
1951,Constitutionalist Party,Malta,MLT,8.12,4.0,1033,Partit Kostituzzjonali,6,Liberal,6.0,3.5,
1951,Democratic Party,Luxembourg,LUX,20.55,8.0,967,Demokratesch Partei – Parti Démocratique – Demokratische Partei,6,Liberal,6.5789,2.7632,
1951,Democratic Union | Left Alliance,Finland,FIN,21.6,43.0,1292,Demokraattinen Liitto – Demokratiska Förbundet | Vasemmistoliitto – Vänsterförbundet ,14,Communist/Socialist,2.1843,3.3406,5.165
1951,Fianna Fail,Ireland,IRL,46.28,69.0,280,Fianna Fáil,26,Conservative,6.0713,6.9898,7.8389
1951,Fine Gael (Familiy of the Irish),Ireland,IRL,25.75,40.0,1393,Fine Gael,3,Christian democracy,6.4372,5.787000000000001,9.1708
1951,French Communist Party,France,FRA,26.7,97.0,686,Parti communiste française,14,Communist/Socialist,1.3741,4.5083,2.3595
1951,Gaullists,France,FRA,21.8,107.0,1094,Gaulliste,26,Conservative,8.2,7.0,7.9
1951,Jones Party,Malta,MLT,0.85,0.0,248,Jones Party,16,Special issue,,,
1951,Labour,United Kingdom,GBR,48.8,295.0,1556,Labour Party,11,Social democracy,4.3562,4.2779,6.9923
1951,Labour Party,Ireland,IRL,11.4,16.0,318,Labour Party,11,Social democracy,3.6252,3.1071,7.1292
1951,Liberals,United Kingdom,GBR,2.6,6.0,659,Liberals,6,Liberal,4.2875,2.6109,9.2231
1951,Luxembourg Socialist Workers' Party,Luxembourg,LUX,35.48,19.0,701,Lëtzebuerger Sozialistesch Arbechterpartei – Parti Ouvrier Socialiste Luxembourgeois – Luxemburger Sozialistische Arbeiterpartei,11,Social democracy,3.2895,1.3158,
1951,Malta Labour Party,Malta,MLT,35.7,14.0,1003,Partit Laburista,11,Social democracy,4.2105,6.3158,
1951,Malta Workers' Party,Malta,MLT,18.79,7.0,1274,Malta Workers' Party,11,Social democracy,3.3,3.5,
1951,National Centre of Independents and Peasants [Conservatives],France,FRA,14.0,87.0,1414,Centre national des indépendants et paysans,26,Conservative,7.5636,7.2219,7.2286
1951,National Coalition Party,Finland,FIN,14.6,28.0,1118,Kansallinen Kokoomus – Samlingspartiet,26,Conservative,7.2451,5.5872,9.0846
1951,National Liberal Party,United Kingdom,GBR,,19.0,1017,National Liberal Party,6,Liberal,6.0,3.5,8.7
1951,National Progressive Party | [Finnish] Liberal People's Party,Finland,FIN,5.7,10.0,1219,Kansallinen Edistyspuolue | [Suomen] Liberaalinen Kansanpuolue,6,Liberal,5.7167,3.5,9.05
1951,Nationalist Party,Malta,MLT,35.47,15.0,984,Partit Nazzjonalista,26,Conservative,5.7143,6.9173,8.1
1951,Party of Smallholders and Rural People,Finland,FIN,0.27,0.0,2293,Pienviljelijäin ja maalaiskansan puolue,2,Agrarian,5.3,6.5,5.4
1951,Party of the Land,Ireland,IRL,2.92,6.0,923,Clann na Talmhan,2,Agrarian,5.3,6.5,5.4
1951,Popular Republican Movement,France,FRA,12.5,82.0,1086,Mouvement républicain populaire,3,Christian democracy,8.2,7.2,8.3
1951,Rally of Republican Lefts,France,FRA,10.0,77.0,890,Rassemblement des gauches républicaines,26,Conservative,7.4,7.0,7.9
1951,Republican Party,Ireland,IRL,4.07,2.0,92,Clann na Poblachta,26,Conservative,7.4,7.0,7.9
1951,Social Democratic Party of Finland,Finland,FIN,26.5,53.0,395,Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti,11,Social democracy,3.5595,4.2417,8.621
1951,Socialist Party,France,FRA,14.5,94.0,1539,Parti socialiste,11,Social democracy,3.2493,2.9367,7.9448
1951,Swedish People's Party,Finland,FIN,7.3,14.0,585,Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland,6,Liberal,6.3906,3.8385,8.5284
1951,no party affiliation,Ireland,IRL,,14.0,30,no party affiliation,12,no family,,,
1951,one seat,United Kingdom,GBR,0.1,1.0,2296,one seat,12,no family,,,
1952,Anti-Revolutionary Party,Netherlands,NLD,11.31,12.0,300,Anti-Revolutionaire Partij,3,Christian democracy,5.8067,6.7724,8.2894
1952,Catholic National Party,Netherlands,NLD,2.71,2.0,3,Katholieke Nationale Partij,3,Christian democracy,6.2,7.2,8.3
1952,Catholic Peoples Party,Netherlands,NLD,28.67,30.0,451,Katholieke Volkspartij,3,Christian democracy,5.9473,6.6882,7.7157
1952,Centre Party,Sweden,SWE,10.7,26.0,1461,Centerpartiet,2,Agrarian,5.8084,6.0583,5.5679
1952,Christian Historical Union,Netherlands,NLD,8.92,9.0,405,Christelijk-Historische Unie,3,Christian democracy,5.8067,6.7724,8.2894
1952,Communist Party of the Netherlands,Netherlands,NLD,6.16,6.0,1194,Communistische Partij Nederland,14,Communist/Socialist,0.8,3.0,5.0
1952,Labour Party,Netherlands,NLD,28.97,30.0,742,Partij van de Arbeid,11,Social democracy,3.6118,3.2028,7.9904
1952,Left Party (Communists),Sweden,SWE,4.3,5.0,882,Vänsterpartiet (kommunisterna),14,Communist/Socialist,1.5464,2.4562,1.2042
1952,Left Socialist Party,Sweden,SWE,0.1,0.0,2406,Vänstersocialistiska Partiet,11,Social democracy,3.3,3.5,8.1
1952,Moderate Party,Sweden,SWE,14.4,31.0,657,Moderaterna,26,Conservative,7.8907,5.6977,8.5872
1952,People's Party,Sweden,SWE,24.4,58.0,892,Folkpartiet,6,Liberal,6.2906,2.8515,9.4643
1952,People's Party for Freedom and Democracy,Netherlands,NLD,8.83,9.0,1409,Volkspartij voor Vrijheid en Democratie,6,Liberal,7.3482,4.3887,5.9471
1952,Political Reformed Party,Netherlands,NLD,2.42,2.0,1251,Staatkundig Gereformeerde Partij,26,Conservative,8.7531,9.7744,2.9307
1952,Reformed Political League,Netherlands,NLD,0.67,0.0,625,Gereformeerd Politiek Verbond,26,Conservative,8.1444,8.6364,3.4848
1952,Social Democrats,Sweden,SWE,46.0,110.0,904,Socialdemokraterna,11,Social democracy,3.4447,4.4407,7.4445
1953,All-German Bloc / League of Expellees and Deprived of Rights,Germany,DEU,5.9,27.0,1507,Gesamtdeutscher Block / Bund der Heimatvertriebenen und Entrechteten,40,Right-wing,8.8,8.5,2.3
1953,All-German People's Party,Germany,DEU,1.2,0.0,238,Gesamtdeutsche Volkspartei,3,Christian democracy,6.2,7.2,8.3
1953,Austrian People's Party,Austria,AUT,41.3,74.0,1013,Österreichische Volkspartei,3,Christian democracy,6.4733,7.6198,8.8451
1953,Bavarian Party,Germany,DEU,1.7,0.0,1131,Bayernpartei,26,Conservative,7.4,7.0,7.9
1953,Centre Party,Germany,DEU,0.8,3.0,137,Deutsche Zentrumspartei,3,Christian democracy,6.2,7.2,8.3
1953,Christian Democratic Union,Germany,DEU,36.4,191.0,808,Christlich Demokratische Union,3,Christian democracy,6.2503,6.9333,8.5024
1953,Christian Democrats,Italy,ITA,40.1,263.0,1633,Democrazia Cristiana,3,Christian democracy,5.6611,7.2,8.9667
1953,Christian Social Union,Germany,DEU,8.8,52.0,1180,Christlich Soziale Union,3,Christian democracy,7.2871,7.8675,6.667999999999999
1953,Communist Party,Italy,ITA,22.6,143.0,1088,Partito Comunista Italiano,14,Communist/Socialist,1.6,3.0,3.3
1953,Communist Party of Austria,Austria,AUT,5.3,4.0,769,Kommunistische Partei Österreichs,14,Communist/Socialist,0.5,3.0,0.0
1953,Communist Party of Denmark,Denmark,DNK,4.3,8.0,1239,Danmarks Kommunistiske Parti,14,Communist/Socialist,1.0,3.0,0.4167
1953,Communist Party of Germany,Germany,DEU,2.2,0.0,649,Kommunistische Partei Deutschlands,14,Communist/Socialist,0.9570000000000001,2.6754,1.9649
1953,Conservatives,Denmark,DNK,16.8,30.0,590,Konservative,26,Conservative,7.2186,6.5055,7.7791
1953,Constitutionalist Party,Malta,MLT,1.17,0.0,1033,Partit Kostituzzjonali,6,Liberal,6.0,3.5,
1953,Danish Social Liberal Party,Denmark,DNK,7.8,14.0,211,Det Radikale Venstre,6,Liberal,4.8736,2.3903,7.8594
1953,Danish Union,Denmark,DNK,0.8,0.0,412,Dansk Samling,40,Right-wing,8.8,8.5,2.3
1953,Free Democratic Party,Germany,DEU,9.5,48.0,543,Freie Demokratische Partei,6,Liberal,5.9233,3.0695,8.4855
1953,Freedom Party of Austria,Austria,AUT,10.9,14.0,50,Freiheitliche Partei Österreichs,40,Right-wing,8.3494,8.5149,1.9815
1953,German Party,Germany,DEU,3.3,15.0,912,Deutsche Partei,26,Conservative,7.4,7.0,7.9
1953,German Reich Party,Germany,DEU,1.1,0.0,187,Deutsche Reichspartei,40,Right-wing,8.8,8.5,2.3
1953,Greenland and Faroe Islands,Denmark,DNK,,4.0,1634,Grønland og Færøerne,12,no family,,,
1953,Independents Party,Denmark,DNK,2.7,0.0,538,De Uafhængige,6,Liberal,6.0,3.5,8.7
1953,Italian Democratic Socialist Party,Italy,ITA,4.5,19.0,242,Partito Socialista Democratico Italiano,11,Social democracy,4.6206,2.99,8.8222
1953,Italian Liberal Party,Italy,ITA,3.01,13.0,487,Partito Liberale Italiano,6,Liberal,6.45,3.5,7.5
1953,Italian Social Movement,Italy,ITA,5.8,29.0,831,Movimento Sociale Italiano,40,Right-wing,9.1778,8.5,2.3
