election_year,country_name,party_id,family_name,eu_anti_pro,left_right,liberty_authority,seats,vote_share
1910,France,2581,Right-wing,2.3,8.8,8.5,137.0,17.43
1910,France,2585,Conservative,7.9,7.4,7.0,105.0,11.44
1910,France,2587,Liberal,8.7,6.0,3.5,0.0,12.06
1910,France,2589,Conservative,7.9,7.4,7.0,91.0,18.97
1910,France,2590,Communist/Socialist,3.3,1.3,3.0,25.0,4.09
1910,France,2593,Christian democracy,8.3,6.2,7.2,0.0,1.81
1910,France,2594,Social democracy,8.1,3.3,3.5,145.0,20.45
1911,Sweden,657,Conservative,8.5872,7.8907,5.6977,64.0,31.2
1911,Sweden,892,Liberal,9.4643,6.2906,2.8515,102.0,40.2
1911,Sweden,904,Social democracy,7.4445,3.4447,4.4407,64.0,28.5
1912,Belgium,63,Liberal,8.7,6.0,3.5,44.0,11.1
1912,Belgium,1335,Social democracy,8.1,3.3,3.5,44.0,27.1
1912,Belgium,2422,Social democracy,8.1,3.3,3.5,39.0,9.3
1912,Belgium,2423,Christian democracy,8.3,6.2,7.2,101.0,51.0
1912,Belgium,2481,Christian democracy,8.3,6.2,7.2,2.0,0.7
1913,Denmark,211,Liberal,7.8594,4.8736,2.3903,31.0,18.7
1913,Denmark,590,Conservative,7.7791,7.2186,6.5055,7.0,22.4
1913,Denmark,1128,no family,7.7791,7.2186,6.5055,0.0,0.7
1913,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,44.0,28.6
1913,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,32.0,29.6
1914,Belgium,63,Liberal,8.7,6.0,3.5,20.0,24.5
1914,Belgium,2422,Social democracy,8.1,3.3,3.5,26.0,30.3
1914,Belgium,2423,Christian democracy,8.3,6.2,7.2,41.0,42.8
1914,Belgium,2481,Christian democracy,8.3,6.2,7.2,1.0,1.7
1914,France,401,Conservative,7.9361,3.9896,4.2381,137.0,18.15
1914,France,1539,Social democracy,7.9448,3.2493,2.9367,103.0,16.76
1914,France,2581,Right-wing,2.3,8.8,8.5,150.0,18.84
1914,France,2585,Conservative,7.9,7.4,7.0,96.0,16.6
1914,France,2587,Liberal,8.7,6.0,3.5,0.0,9.72
1914,France,2589,Conservative,7.9,7.4,7.0,73.0,15.39
1914,France,2594,Social democracy,8.1,3.3,3.5,27.0,3.88
1914,Sweden,657,Conservative,8.5872,7.8907,5.6977,86.0,37.1
1914,Sweden,892,Liberal,9.4643,6.2906,2.8515,64.0,29.55
1914,Sweden,904,Social democracy,7.4445,3.4447,4.4407,80.0,33.25
1914,Sweden,1461,Agrarian,5.5679,5.8084,6.0583,0.0,0.2
1915,Denmark,211,Liberal,7.8594,4.8736,2.3903,31.0,0.2
1915,Denmark,590,Conservative,7.7791,7.2186,6.5055,7.0,0.2
1915,Denmark,1128,no family,7.7791,7.2186,6.5055,1.0,0.2
1915,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,43.0,0.2
1915,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,32.0,0.2
1917,Finland,94,Agrarian,5.5267,5.8027,7.2203,26.0,12.38
1917,Finland,395,Social democracy,8.621,3.5595,4.2417,92.0,44.79
1917,Finland,585,Liberal,8.5284,6.3906,3.8385,21.0,10.9
1917,Finland,2433,Social democracy,8.1,3.3,3.5,0.0,1.56
1917,Finland,2434,Conservative,7.9,7.4,7.0,32.0,30.17
1917,Sweden,657,Conservative,8.5872,7.8907,5.6977,57.0,24.7
1917,Sweden,892,Liberal,9.4643,6.2906,2.8515,62.0,27.6
1917,Sweden,904,Social democracy,7.4445,3.4447,4.4407,86.0,31.1
1917,Sweden,1461,Agrarian,5.5679,5.8084,6.0583,9.0,5.3
1917,Sweden,2556,Agrarian,5.4,5.3,6.5,3.0,3.1
1918,Denmark,211,Liberal,7.8594,4.8736,2.3903,32.0,20.7
1918,Denmark,590,Conservative,7.7791,7.2186,6.5055,22.0,18.3
1918,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,45.0,29.4
1918,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,39.0,28.7
1918,Denmark,2058,no family,7.4311,3.8011,4.2722,0.0,0.5
1918,Denmark,2429,Liberal,8.7,6.0,3.5,1.0,1.3
1918,Netherlands,300,Christian democracy,8.2894,5.8067,6.7724,13.0,13.4
1918,Netherlands,405,Christian democracy,8.2894,5.8067,6.7724,7.0,6.5
1918,Netherlands,944,Liberal,8.7,6.0,3.5,5.0,5.3
1918,Netherlands,1194,Communist/Socialist,5.0,0.8,3.0,2.0,2.3
1918,Netherlands,1451,Social democracy,8.1,3.3,3.5,22.0,22.0
1918,Netherlands,2110,no family,8.1,3.3,3.5,0.0,22.0
1918,Netherlands,2457,Liberal,8.7,6.0,3.5,3.0,3.1
1918,Netherlands,2458,Agrarian,5.4,5.3,6.5,1.0,0.4
1918,Netherlands,2459,Liberal,8.7,6.0,3.5,4.0,3.8
1918,Netherlands,2462,Liberal,8.7,6.0,3.5,6.0,6.2
1918,Netherlands,2539,Christian democracy,8.3,6.2,7.2,30.0,30.0
1918,United Kingdom,332,Social democracy,8.1,3.3,3.5,7.0,2.21
1918,United Kingdom,453,no family,8.1,3.3,3.5,8.0,2.21
1918,United Kingdom,659,Liberal,9.2231,4.2875,2.6109,36.0,13.0
1918,United Kingdom,689,Communist/Socialist,3.3,1.3,3.0,73.0,4.6
1918,United Kingdom,773,Conservative,2.3243,7.4261,7.1901,332.0,32.5
1918,United Kingdom,1556,Social democracy,6.9923,4.3562,4.2779,57.0,20.8
1918,United Kingdom,1599,no family,6.9923,4.3562,4.2779,1.0,0.09
1918,United Kingdom,2296,no family,6.9923,4.3562,4.2779,1.0,0.3
1918,United Kingdom,2501,Liberal,8.7,6.0,3.5,127.0,12.6
1918,United Kingdom,2503,Right-wing,2.3,8.8,8.5,9.0,1.45
1918,United Kingdom,2504,Right-wing,2.3,8.8,8.5,2.0,0.9
1918,United Kingdom,2508,Social democracy,8.1,3.3,3.5,4.0,0.5
1918,United Kingdom,2719,Conservative,7.9,7.4,7.0,50.0,5.9
1919,Austria,973,Social democracy,8.4495,3.7293,3.4766,72.0,40.75
1919,Austria,1013,Christian democracy,8.8451,6.4733,7.6198,69.0,35.93
1919,Austria,2672,Conservative,7.9,7.4,7.0,8.0,5.85
1919,Austria,2673,Conservative,7.9,7.4,7.0,2.0,2.02
1919,Austria,2675,Liberal,8.7,6.0,3.5,3.0,2.16
1919,Austria,2676,Right-wing,2.3,8.8,8.5,5.0,1.9
1919,Austria,2677,Conservative,7.9,7.4,7.0,3.0,1.58
1919,Austria,2678,Conservative,7.9,7.4,7.0,2.0,1.12
1919,Austria,2679,Right-wing,2.3,8.8,8.5,0.0,1.57
1919,Austria,2686,no family,2.3,8.8,8.5,4.0,1.49
1919,Austria,2688,Liberal,8.7,6.0,3.5,1.0,1.64
1919,Austria,2689,Special issue,8.7,6.0,3.5,1.0,2.27
1919,Belgium,63,Liberal,8.7,6.0,3.5,34.0,17.6
1919,Belgium,2052,no family,8.7,6.0,3.5,34.0,0.1
1919,Belgium,2300,no family,8.7,6.0,3.5,4.0,2.4
1919,Belgium,2422,Social democracy,8.1,3.3,3.5,70.0,36.6
1919,Belgium,2423,Christian democracy,8.3,6.2,7.2,73.0,35.2
1919,Belgium,2424,Social democracy,8.1,3.3,3.5,5.0,3.5
1919,Belgium,2488,no family,8.1,3.3,3.5,5.0,4.7
1919,Finland,94,Agrarian,5.5267,5.8027,7.2203,42.0,19.7
1919,Finland,395,Social democracy,8.621,3.5595,4.2417,80.0,38.0
1919,Finland,585,Liberal,8.5284,6.3906,3.8385,22.0,12.1
1919,Finland,1118,Conservative,9.0846,7.2451,5.5872,28.0,15.7
1919,Finland,1219,Liberal,9.05,5.7167,3.5,26.0,12.8
1919,Finland,2433,Social democracy,8.1,3.3,3.5,2.0,1.5
1919,France,401,Conservative,7.9361,3.9896,4.2381,106.0,17.69
1919,France,1328,no family,7.9361,3.9896,4.2381,2.0,17.69
1919,France,1539,Social democracy,7.9448,3.2493,2.9367,67.0,23.36
1919,France,2581,Right-wing,2.3,8.8,8.5,201.0,22.66
1919,France,2585,Conservative,7.9,7.4,7.0,51.0,6.28
1919,France,2587,Liberal,8.7,6.0,3.5,79.0,11.07
1919,France,2589,Conservative,7.9,7.4,7.0,88.0,14.2
1919,France,2594,Social democracy,8.1,3.3,3.5,22.0,3.52
1919,Germany,137,Christian democracy,8.3,6.2,7.2,73.0,15.45
1919,Germany,558,Social democracy,7.9318,3.6451,3.9791,165.0,37.87
1919,Germany,2289,no family,7.9318,3.6451,3.9791,2.0,0.38
1919,Germany,2690,Communist/Socialist,3.3,1.3,3.0,22.0,7.63
1919,Germany,2691,Liberal,8.7,6.0,3.5,74.0,18.32
1919,Germany,2692,Right-wing,2.3,8.8,8.5,41.0,10.26
1919,Germany,2693,Conservative,7.9,7.4,7.0,23.0,4.66
1919,Germany,2696,Conservative,7.9,7.4,7.0,3.0,0.7
1919,Germany,2697,Christian democracy,8.3,6.2,7.2,16.0,3.77
1919,Germany,2701,Liberal,8.7,6.0,3.5,4.0,0.9
1919,Luxembourg,701,Social democracy,8.7,3.2895,1.3158,8.0,15.6
1919,Luxembourg,2149,no family,8.7,3.2895,1.3158,0.0,3.0
1919,Luxembourg,2290,no family,8.7,3.2895,1.3158,1.0,0.7
1919,Luxembourg,2450,Right-wing,8.7,8.8,8.5,3.0,6.6
1919,Luxembourg,2451,to be coded,8.7,8.8,8.5,2.0,6.2
1919,Luxembourg,2453,Liberal,8.7,6.0,3.5,7.0,14.2
1919,Luxembourg,2527,Right-wing,8.7,8.8,8.5,27.0,52.8
1920,Austria,973,Social democracy,8.4495,3.7293,3.4766,69.0,35.99
1920,Austria,1013,Christian democracy,8.8451,6.4733,7.6198,85.0,41.79
1920,Austria,2674,Conservative,7.9,7.4,7.0,21.0,17.25
1920,Austria,2678,Conservative,7.9,7.4,7.0,0.0,17.25
1920,Austria,2681,Right-wing,2.3,8.8,8.5,7.0,17.25
1920,Austria,2684,Right-wing,2.3,8.8,8.5,0.0,17.25
1920,Austria,2686,no family,2.3,8.8,8.5,1.0,1.44
1920,Denmark,211,Liberal,7.8594,4.8736,2.3903,17.0,11.843333333333334
1920,Denmark,590,Conservative,7.7791,7.2185999999999995,6.5055000000000005,27.0,18.836666666666666
1920,Denmark,812,Special issue,7.7791,7.2185999999999995,6.5055000000000005,1.0,0.6
1920,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,50.0,34.77
1920,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,44.0,30.47
1920,Denmark,2058,no family,7.4311,3.8011,4.2722,0.0,0.7533333333333333
1920,Denmark,2429,Liberal,8.7,6.0,3.5,3.6666666666666665,2.63
1920,Germany,137,Christian democracy,8.3,6.2,7.2,67.0,13.61
1920,Germany,558,Social democracy,7.9318,3.6451,3.9791,113.0,21.58
1920,Germany,649,Communist/Socialist,1.9649,0.9570000000000001,2.6754,2.0,1.7
1920,Germany,2289,no family,1.9649,0.9570000000000001,2.6754,2.0,0.25
1920,Germany,2690,Communist/Socialist,3.3,1.3,3.0,81.0,18.81
1920,Germany,2691,Liberal,8.7,6.0,3.5,44.0,8.46
1920,Germany,2692,Right-wing,2.3,8.8,8.5,60.0,12.94
1920,Germany,2693,Conservative,7.9,7.4,7.0,62.0,13.87
1920,Germany,2696,Conservative,7.9,7.4,7.0,5.0,1.23
1920,Germany,2697,Christian democracy,8.3,6.2,7.2,20.0,4.51
1920,Germany,2701,Liberal,8.7,6.0,3.5,4.0,0.84
1920,Germany,2703,Agrarian,5.4,5.3,6.5,3.0,0.69
1920,Germany,2704,Agrarian,5.4,5.3,6.5,3.0,0.63
1920,Sweden,657,Conservative,8.5872,7.8907,5.6977,70.0,27.8
1920,Sweden,882,Communist/Socialist,1.2042,1.5464,2.4562,7.0,6.4
1920,Sweden,892,Liberal,9.4643,6.2906,2.8515,47.0,21.8
1920,Sweden,904,Social democracy,7.4445,3.4447,4.4407,75.0,29.6
1920,Sweden,1461,Agrarian,5.5679,5.8084,6.0583,19.0,7.9
1920,Sweden,2556,Agrarian,5.4,5.3,6.5,10.0,6.2
1921,Belgium,63,Liberal,8.7,6.0,3.5,33.0,18.1
1921,Belgium,2052,no family,8.7,6.0,3.5,33.0,0.3
1921,Belgium,2300,no family,8.7,6.0,3.5,1.0,0.5
1921,Belgium,2422,Social democracy,8.1,3.3,3.5,68.0,34.9
1921,Belgium,2423,Christian democracy,8.3,6.2,7.2,76.0,39.8
1921,Belgium,2424,Social democracy,8.1,3.3,3.5,4.0,2.8
1921,Belgium,2564,Christian democracy,8.3,6.2,7.2,4.0,4.3
1921,Sweden,657,Conservative,8.5872,7.8907,5.6977,62.0,25.8
1921,Sweden,882,Communist/Socialist,1.2042,1.5464,2.4562,7.0,4.6
1921,Sweden,892,Liberal,9.4643,6.2906,2.8515,41.0,18.7
1921,Sweden,904,Social democracy,7.4445,3.4447,4.4407,93.0,36.2
1921,Sweden,1461,Agrarian,5.5679,5.8084,6.0583,21.0,11.0
1921,Sweden,2557,Communist/Socialist,3.3,1.3,3.0,6.0,3.2
1922,Finland,94,Agrarian,5.5267,5.8027,7.2203,45.0,20.3
1922,Finland,395,Social democracy,8.621,3.5595,4.2417,53.0,25.1
1922,Finland,585,Liberal,8.5284,6.3906,3.8385,25.0,12.4
1922,Finland,1118,Conservative,9.0846,7.2451,5.5872,35.0,18.2
1922,Finland,1219,Liberal,9.05,5.7167,3.5,15.0,9.2
1922,Finland,1292,Communist/Socialist,5.165,2.1843,3.3406,27.0,14.8
1922,Ireland,30,no family,5.165,2.1843,3.3406,9.0,7.8
1922,Ireland,280,Conservative,7.8389,6.0713,6.9898,36.0,21.8
1922,Ireland,318,Social democracy,7.1292,3.6252,3.1071,17.0,21.3
1922,Ireland,2447,Conservative,7.9,7.4,7.0,58.0,38.5
1922,Ireland,2523,Liberal,8.7,6.0,3.5,1.0,2.3
1922,Ireland,2563,Agrarian,5.4,5.3,6.5,7.0,7.8
1922,Luxembourg,151,Communist/Socialist,5.4,1.3,3.0,0.0,1.0
1922,Luxembourg,701,Social democracy,5.4,3.2895,1.3158,6.0,10.7
1922,Luxembourg,2450,Right-wing,5.4,8.8,8.5,4.0,14.9
1922,Luxembourg,2451,to be coded,5.4,8.8,8.5,2.0,14.9
1922,Luxembourg,2452,no family,5.4,8.8,8.5,1.0,14.9
1922,Luxembourg,2453,Liberal,5.4,6.0,3.5,9.0,23.0
1922,Luxembourg,2527,Right-wing,5.4,8.8,8.5,26.0,50.4
1922,Netherlands,300,Christian democracy,8.2894,5.8067,6.7724,16.0,13.7
1922,Netherlands,405,Christian democracy,8.2894,5.8067,6.7724,11.0,10.9
1922,Netherlands,944,Liberal,8.7,6.0,3.5,5.0,4.6
1922,Netherlands,1194,Communist/Socialist,5.0,0.8,3.0,2.0,1.8
1922,Netherlands,1251,Conservative,2.9307,8.7531,9.7744,1.0,0.9
1922,Netherlands,1451,Social democracy,8.1,3.3,3.5,20.0,19.4
1922,Netherlands,2110,no family,8.1,3.3,3.5,0.0,19.4
1922,Netherlands,2288,no family,8.1,3.3,3.5,1.0,0.6
1922,Netherlands,2458,Agrarian,5.4,5.3,6.5,2.0,1.3
1922,Netherlands,2461,Liberal,8.7,6.0,3.5,10.0,9.3
1922,Netherlands,2539,Christian democracy,8.3,6.2,7.2,32.0,29.9
1922,United Kingdom,332,Social democracy,8.1,3.3,3.5,3.0,0.71
1922,United Kingdom,453,no family,8.1,3.3,3.5,10.0,2.62
1922,United Kingdom,659,Liberal,9.2231,4.2875,2.6109,62.0,18.54
1922,United Kingdom,773,Conservative,2.3243,7.4261,7.1901,344.0,38.23
1922,United Kingdom,1017,Liberal,8.7,6.0,3.5,53.0,10.22
1922,United Kingdom,1556,Social democracy,6.9923,4.3562,4.2779,142.0,29.44
1922,United Kingdom,2514,Conservative,7.9,7.4,7.0,1.0,0.1
1923,Austria,973,Social democracy,8.4495,3.7293,3.4766,68.0,39.6
1923,Austria,1013,Christian democracy,8.8451,6.4733,7.6198,82.0,44.05
1923,Austria,2674,Conservative,7.9,7.4,7.0,10.0,44.05
1923,Austria,2681,Right-wing,2.3,8.8,8.5,5.0,44.05
1923,Austria,2687,no family,2.3,8.8,8.5,0.0,2.88
1923,Austria,2699,Right-wing,2.3,8.8,8.5,0.0,10.84
1923,Ireland,30,no family,2.3,8.8,8.5,13.0,8.1
1923,Ireland,280,Conservative,7.8389,6.0713,6.9898,44.0,27.4
1923,Ireland,318,Social democracy,7.1292,3.6252,3.1071,14.0,10.6
1923,Ireland,2216,no family,7.1292,3.6252,3.1071,0.0,0.5
1923,Ireland,2447,Conservative,7.9,7.4,7.0,63.0,39.0
1923,Ireland,2523,Liberal,8.7,6.0,3.5,2.0,0.9
1923,Ireland,2525,Conservative,7.9,7.4,7.0,2.0,0.3
1923,Ireland,2563,Agrarian,5.4,5.3,6.5,15.0,12.1
1923,United Kingdom,332,Social democracy,8.1,3.3,3.5,3.0,0.4
1923,United Kingdom,453,no family,8.1,3.3,3.5,5.0,1.0
1923,United Kingdom,659,Liberal,9.2231,4.2875,2.6109,158.0,29.7
1923,United Kingdom,773,Conservative,2.3243,7.4261,7.1901,258.0,38.0
1923,United Kingdom,1276,Communist/Socialist,3.3,1.3,3.0,0.0,0.2
1923,United Kingdom,1556,Social democracy,6.9923,4.3562,4.2779,191.0,30.7
1924,Denmark,211,Liberal,7.8594,4.8736,2.3903,20.0,13.0
1924,Denmark,590,Conservative,7.7791,7.2186,6.5055,28.0,18.9
1924,Denmark,812,Special issue,7.7791,7.2186,6.5055,1.0,0.6
1924,Denmark,1605,Liberal,9.0268,7.292000000000001,4.9957,44.0,28.3
1924,Denmark,1606,Liberal,0.2333,6.0,3.5,0.0,1.0
1924,Denmark,1629,Social democracy,7.4311,3.8011,4.2722,55.0,36.6
1924,France,401,Conservative,7.9361,3.9896,4.2381,162.0,17.86
1924,France,686,Communist/Socialist,2.3595,1.3741,4.5083,26.0,9.82
1924,France,1539,Social democracy,7.9448,3.2493,2.9367,104.0,20.1
1924,France,2581,Right-wing,2.3,8.8,8.5,204.0,35.35
1924,France,2587,Liberal,8.7,6.0,3.5,53.0,11.72
1924,France,2589,Conservative,7.9,7.4,7.0,25.0,4.16
1924,Germany,137,Christian democracy,8.3,6.2,7.2,67.0,13.415
1924,Germany,558,Social democracy,7.9318,3.6451,3.9791,115.5,23.235
1924,Germany,649,Communist/Socialist,1.9649,0.9570000000000001,2.6754,53.5,10.76
1924,Germany,2289,no family,1.9649,0.9570000000000001,2.6754,1.0,0.11
1924,Germany,2691,Liberal,8.7,6.0,3.5,30.0,5.984999999999999
1924,Germany,2692,Right-wing,2.3,8.8,8.5,99.0,19.965
1924,Germany,2693,Conservative,7.9,7.4,7.0,48.0,9.620000000000001
1924,Germany,2695,Right-wing,2.3,8.8,8.5,23.0,4.765000000000001
1924,Germany,2696,Conservative,7.9,7.4,7.0,4.5,0.96
1924,Germany,2697,Christian democracy,8.3,6.2,7.2,17.5,3.4800000000000004
1924,Germany,2698,Conservative,7.9,7.4,7.0,9.5,1.99
1924,Germany,2701,Liberal,8.7,6.0,3.5,4.0,0.78
1924,Germany,2703,Agrarian,5.4,5.3,6.5,4.0,0.755
1924,Germany,2704,Agrarian,5.4,5.3,6.5,2.0,0.47
1924,Germany,2705,Right-wing,2.3,8.8,8.5,4.0,1.15
1924,Germany,2706,Agrarian,5.4,5.3,6.5,1.5,0.28
1924,Germany,2707,Agrarian,5.4,5.3,6.5,1.0,0.215
1924,Sweden,657,Conservative,8.5872,7.8907,5.6977,65.0,26.1
1924,Sweden,882,Communist/Socialist,1.2042,1.5464,2.4562,4.0,3.6
1924,Sweden,892,Liberal,9.4643,6.2906,2.8515,28.0,13.0
1924,Sweden,904,Social democracy,7.4445,3.4447,4.4407,104.0,41.1
1924,Sweden,1461,Agrarian,5.5679,5.8084,6.0583,23.0,10.8
1924,Sweden,2475,Communist/Socialist,3.3,1.3,3.0,1.0,1.5
1924,Sweden,2477,Liberal,8.7,6.0,3.5,5.0,3.9
1924,United Kingdom,332,Social democracy,8.1,3.3,3.5,1.0,3.9
1924,United Kingdom,453,no family,8.1,3.3,3.5,3.0,0.49
1924,United Kingdom,659,Liberal,9.2231,4.2875,2.6109,40.0,17.6
1924,United Kingdom,689,Communist/Socialist,3.3,1.3,3.0,0.0,0.28
1924,United Kingdom,773,Conservative,2.3243,7.4261,7.1901,412.0,47.2
1924,United Kingdom,1276,Communist/Socialist,3.3,1.3,3.0,1.0,0.33
1924,United Kingdom,1556,Social democracy,6.9923,4.3562,4.2779,151.0,32.99
1924,United Kingdom,2514,Conservative,7.9,7.4,7.0,7.0,1.11
1925,Belgium,63,Liberal,8.7,6.0,3.5,23.0,14.6
1925,Belgium,708,Communist/Socialist,4.45,1.4,3.0,2.0,1.6
1925,Belgium,2422,Social democracy,8.1,3.3,3.5,78.0,39.4
1925,Belgium,2423,Christian democracy,8.3,6.2,7.2,75.0,36.1
1925,Belgium,2424,Social democracy,8.1,3.3,3.5,6.0,3.9
1925,Belgium,2488,no family,8.1,3.3,3.5,3.0,2.5
1925,Luxembourg,701,Social democracy,8.1,3.2895,1.3158,8.0,16.2
1925,Luxembourg,2149,no family,8.1,3.2895,1.3158,0.0,1.4
1925,Luxembourg,2450,Right-wing,8.1,8.8,8.5,3.0,6.9
1925,Luxembourg,2452,no family,8.1,8.8,8.5,2.0,5.3
1925,Luxembourg,2456,Liberal,8.1,6.0,3.5,5.0,9.6
1925,Luxembourg,2527,Right-wing,8.1,8.8,8.5,22.0,42.6
1925,Luxembourg,2529,Right-wing,8.1,8.8,8.5,2.0,7.3
1925,Luxembourg,2531,Liberal,8.1,6.0,3.5,1.0,2.8
1925,Luxembourg,2533,Liberal,8.1,6.0,3.5,3.0,4.8
1925,Luxembourg,2536,Agrarian,8.1,5.3,6.5,1.0,2.4
1925,Netherlands,300,Christian democracy,8.2894,5.8067,6.7724,13.0,12.2
1925,Netherlands,405,Christian democracy,8.2894,5.8067,6.7724,11.0,9.9
1925,Netherlands,944,Liberal,8.7,6.0,3.5,7.0,6.1
1925,Netherlands,1194,Communist/Socialist,5.0,0.8,3.0,1.0,1.2
1925,Netherlands,1251,Conservative,2.9307,8.7531,9.7744,2.0,2.0
1925,Netherlands,1451,Social democracy,8.1,3.3,3.5,24.0,22.9
1925,Netherlands,2110,no family,8.1,3.3,3.5,0.0,22.9
